step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_capsule_overlap,collision_pybullet_contact,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.9850945512683627,0.6729627847671509,0.3950517475605011,0.14552342891693115,0.5959271192550659,0.35,2,0,0,0,0,,,nan,0,0.0,0.0,0.0,0.34056922793388367,1.0,nan,0,0,0,1,-0.005987572072383124,0.0,safe_stop_infeasible,0.34056924039781433,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.005987572072383124,0.348444156|0.26681018|-0.00598757207|0.0047631245|0.0358288303|0.0144425416,0.498444156|0.41681018|0.144012428|0.154763125|0.18582883|0.164442542,0.468444156|0.38681018|0.114012428|0.124763125|0.15582883|0.134442542,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.104206883|-0.0453496767|-0.00872676907|-0.169682482|-0.1896728|-0.193391192,1.28956974|1.02189104|-0.0326770574|-0.150629984|-0.0463574784|-0.135621026,0.294964284|0.450403154|0.59632355,0.0807872936|-0.165780321|-0.0612928085,0.0055303992703557014,0.0016072308644652367,0.0018550800159573555,0.0020315321162343025
1,0.1,-1.024511222067618,0.7123794555664062,0.3950517475605011,0.14460861682891846,0.6304882764816284,0.35,2,0,0,0,0,,,nan,0,0.0,0.0,0.0,0.35347041487693787,1.0,nan,0,0,0,1,-0.005987572072383124,0.0,safe_stop_infeasible,0.3534704029496034,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.00626352169334779,0.343285444|0.264618456|-0.00626352169|-0.00367980678|0.0263524722|0.00477449787,0.493285444|0.414618456|0.143736478|0.146320193|0.176352472|0.154774498,0.463285444|0.384618456|0.113736478|0.116320193|0.146352472|0.124774498,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.102126429|-0.0423065578|-0.00230611374|-0.168007045|-0.189371327|-0.193322943,1.27101535|1.01616727|-0.0273602005|-0.182726272|-0.0839614384|-0.174224952,0.29900369|0.442114055|0.593258679,0.0807872936|-0.165780321|-0.0612928085,0.005104640498757362,0.0015860563144087791,0.0016517089679837227,0.001831352710723877
2,0.15000000000000002,-1.0661877433688876,0.7540559768676758,0.3950517475605011,0.14401227235794067,0.6671534776687622,0.35,2,0,0,0,0,,,nan,0,0.0,0.0,0.0,0.35032030940055847,1.0,nan,0,0,0,1,-0.005987572072383124,0.0,safe_stop_infeasible,0.35032030515625856,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.012034971922521953,0.338231995|0.262579724|-0.00628425124|-0.0120349719|0.0168919175|-0.00488994666,0.488231995|0.412579724|0.143715749|0.137965028|0.166891918|0.145110053,0.458231995|0.382579724|0.113715749|0.107965028|0.136891918|0.115110053,0.15|0.15|0.117935122|0.15|0.15|0.15,0|0|0|0|0|0,-0.0999963085|-0.0392304152|-4.68019442e-18|-0.166168937|-0.189040077|-0.193247046,1.25293167|1.01108848|-0.025137005|-0.214308825|-0.121472407|-0.212806833,0.303043097|0.433824956|0.590193808,0.0807872936|-0.165780321|-0.0612928085,0.005199107341468334,0.001611141487956047,0.0014467034488916397,0.0021047964692115784
3,0.2,-1.1102007667453524,0.7980690002441406,0.3950517475605011,0.143736332654953,0.7060269713401794,0.35,2,0,0,0,0,,,nan,0,0.0,0.0,0.0,0.3318939507007599,1.0,nan,0,0,0,1,-0.005987572072383124,0.0,safe_stop_infeasible,0.33189394686581425,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.020293757156669756,0.333286306|0.260695586|-0.00628429889|-0.0202937572|0.00744875259|-0.0145503809,0.483286306|0.410695586|0.143715701|0.129706243|0.157448753|0.135449619,0.453286306|0.380695586|0.113715701|0.0997062428|0.127448753|0.105449619,0.15|0.15|0.067934295|0.15|0.15|0.15,0|0|0|0|0|0,-0.0978160144|-0.0361232218|-7.59209424e-19|-0.16414855|-0.188675057|-0.193162318,1.23532921|1.00665912|-0.0251371956|-0.245323579|-0.158880047|-0.251363841,0.307082504|0.425535858|0.587128937,0.0807872936|-0.165780321|-0.0612928085,0.0030817165970802307,0.0008400194346904755,0.0009475881233811378,0.0012729112058877945
4,0.25,-1.130790952864432,0.8186591863632202,0.3950517475605011,0.1379648894071579,0.7472147345542908,0.35,3,0,0,0,0,,,nan,0,0.0,0.0,0.0,0.3354251980781555,1.0,nan,0,0,0,1,-0.005987572072383124,0.0,safe_stop_infeasible,0.3354251917428067,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.028446504112254523,0.328450896|0.258967542|-0.00628434654|-0.0284465041|-0.00197522044|-0.0242063288,0.478450896|0.408967542|0.143715653|0.121553496|0.14802478|0.125793671,0.448450896|0.378967542|0.113715653|0.0915534959|0.11802478|0.0957936712,0.15|0.15|0.017933468|0.15|0.15|0.15,0|0|0|0|0|0,-0.0955851042|-0.0329870662|-5.49441466e-18|-0.161923656|-0.188271597|-0.193067337,1.21821848|1.0028831|-0.0251373861|-0.275709672|-0.196172479|-0.289892653,0.311121911|0.417246759|0.584064066,0.0807872936|-0.165780321|-0.0612928085,0.003238827921450138,0.0008944971486926079,0.000984623096883297,0.0013384995982050896
5,0.30000000000000004,-1.1442614833743807,0.832129716873169,0.3950517475605011,0.12970612943172455,0.7908248901367188,0.35,3,0,0,0,0,,,nan,0,0.0,0.0,0.0,0.3404427766799927,1.0,nan,0,0,0,1,-0.005987572072383124,0.0,safe_stop_infeasible,0.3404427652053121,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.03648237054792805,0.323728306|0.257396987|-0.00621828912|-0.0364823705|-0.0113779459|-0.0338572364,0.473728306|0.407396987|0.143781711|0.113517629|0.138622054|0.116142764,0.443728306|0.377396987|0.113781711|0.0835176295|0.108622054|0.0861427636,0.15|0.15|0|0.15|0.15|0.15,0|0|0|0|0|0,-0.0933032076|-0.0298241474|0.00412242423|-0.159469073|-0.187824205|-0.192960388,1.20161001|0.9997638|-0.0207507322|-0.305398555|-0.233335989|-0.328389334,0.315161318|0.40895766|0.580999196,0.0807872936|-0.165780321|-0.0612928085,0.003090835176408291,0.0008419239893555641,0.0009346948936581612,0.0012945868074893951
6,0.35000000000000003,-1.1584257523448702,0.8462939858436584,0.3950517475605011,0.12155338376760483,0.8369688391685486,0.35,3,0,0,0,0,,,nan,0,0.0,0.0,0.0,0.34373027086257935,1.0,nan,0,0,0,1,-0.005987572072383124,0.0,safe_stop_infeasible,0.3437302586435713,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.044389174239219814,0.319121093|0.255985201|-0.00585174155|-0.0443891742|-0.0207570695|-0.0435024545,0.469121093|0.405985201|0.144148258|0.105610826|0.129242931|0.106497546,0.439121093|0.375985201|0.114148258|0.0756108258|0.0992429305|0.0764975455,0.15|0.15|0|0.15|0.15|0.15,0|0|0|0|0|0,-0.0909700325|-0.0266367689|0.0105371409|-0.156756326|-0.187326392|-0.19283938,1.18551434|0.997304036|-0.0128698253|-0.334313023|-0.27035467|-0.366849198,0.319200724|0.400668561|0.577934325,0.0807872936|-0.165780321|-0.0612928085,0.0030816616490483284,0.0008437912911176682,0.0009486451745033264,0.0012675812467932701
7,0.4,-4.167263333025717,3.8551315665245056,0.3950517475605011,0.11351753026247025,0.8551315069198608,0.35,3,1,0,0,0,,,nan,0,0.0,0.0,0.0,0.34566453099250793,1.0,nan,0,0,0,1,-0.005987572072383124,0.0,safe_stop_infeasible,0.34566453043269246,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.053141218374253146,0.314631826|0.254733349|-0.00516522551|-0.0521925024|-0.030109883|-0.0531412184,0.464631826|0.404733349|0.144834774|0.0978074976|0.119890117|0.0968587816,0.434631826|0.374733349|0.114834774|0.0678074976|0.089890117|0.0668587816,0.15|0.15|0|0.15|0.15|0.15,0|0|0|0|0|0,-0.0885853713|-0.0234273307|0.0169175101|-0.155567088|-0.186770453|-0.192701747,1.16994193|0.995506064|-0.00374339194|-0.364337098|-0.307209985|-0.405266621,0.323240131|0.392379463|0.574869454,0.0807872936|-0.165780321|-0.0612928085,0.003146669827401638,0.0008690459653735161,0.0009885355830192566,0.0012680795043706894
8,0.45,-4.167228762331748,3.855096995830536,0.3950517475605011,0.10561073571443558,0.8550969362258911,0.35,3,1,0,0,0,,,nan,0,0.0,0.0,0.0,0.34429410099983215,1.0,nan,0,0,0,1,-0.005987572072383124,0.0,safe_stop_infeasible,0.34429410110440434,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.06277262027004346,0.310263084|0.25364247|-0.00416096857|-0.0599448944|-0.039433257|-0.0627726203,0.460263084|0.40364247|0.145839031|0.0900551056|0.110566743|0.0872273797,0.430263084|0.37364247|0.115839031|0.0600551056|0.080566743|0.0572273797,0.15|0.15|0|0.15|0.15|0.15,0|0|0|0|0|0,-0.0861491078|-0.0201983223|0.0232432435|-0.154509058|-0.186147192|-0.192544315,1.15490323|0.994371557|0.0065993692|-0.394288635|-0.343880219|-0.443634796,0.327279538|0.384090364|0.571804583,0.0807872936|-0.165780321|-0.0612928085,0.003314690664410591,0.0008618626743555069,0.001123121939599514,0.0013082623481750488
9,0.5,-4.167189423266196,3.855057656764984,0.3950517475605011,0.09685830771923065,0.8550576567649841,0.35,5,1,0,0,0,,,nan,0,0.0,0.0,0.0,0.33999544382095337,1.0,nan,0,0,0,1,-0.005987572072383124,0.0,safe_stop_infeasible,0.3399954536334942,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.07239557477623543,0.306017447|0.25271348|-0.00284219221|-0.067641449|-0.0487235577|-0.0723955748,0.456017447|0.40271348|0.147157808|0.082358551|0.101276442|0.0776044252,0.426017447|0.37271348|0.117157808|0.052358551|0.0712764423|0.0476044252,0.15|0.15|0|0.15|0.15|0.15,0|0|0|0|0|0,-0.0836612232|-0.0169523127|0.0294949229|-0.153330995|-0.185445567|-0.192363116,1.14040856|0.993901607|0.018126154|-0.423896791|-0.380339798|-0.481945415,0.331318945|0.375801265|0.568739712,0.0807872936|-0.165780321|-0.0612928085,0.0030126627534627914,0.0008552819490432739,0.0009106947109103203,0.0012249480932950974
