step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s
0,0.05,-0.0771799497657712,0.12869611382484436,0.14935781061649323,0.43848612904548645,0.1188938319683075,0.35,2,0,0,0,0.3666330873966217,7.332662105560303,146.6532440185547,0.40392449498176575,1.0,0.2965228116481846,0,0,0,0,0.2965228116481846,0.0,filtered,0.040247783668279205,0,0,12,joint_0_acceleration_upper|joint_2_acceleration_upper,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2965228116481846,0.481615416|0.496615416|0.296522812|0.303522812|0.48450588|0.535116946,0.601615416|0.616615416|0.416522812|0.423522812|0.60450588|0.655116946,0.601615416|0.616615416|0.416522812|0.423522812|0.60450588|0.655116946,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0460311917|0.0460311917|0.0503324768|0.0461659621,-0.125613689|0|-0.196617383|-0.196617383|-0.233822138|-0.228199818,1.80084797|1.98646166|1.03550506|1.06350506|1.75453386|1.95843393,0.336081505|-0.521432102|0.538631618,0.0712174475|0.228820443|-0.0157011691,0.0030465442687273026
1,0.1,0.01536750761342659,0.11556223779916763,0.13976125419139862,0.43159183859825134,0.10538031160831451,0.35,2,0,0,0,0.573470950126648,5.236271381378174,111.04119873046875,0.573470950126648,1.0,0.2889933390623928,0,0,0,0,0.2965228116481846,0.0,passthrough,5.345015544004925e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2889933390623928,0.475405173|0.490405173|0.288993339|0.295993339|0.475162631|0.525840273,0.595405173|0.610405173|0.408993339|0.415993339|0.595162631|0.645840273,0.595405173|0.610405173|0.408993339|0.415993339|0.595162631|0.645840273,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0639997046|0.0639997046|0.0442845106|0.0340412648,-0.122772237|0|-0.193932113|-0.193932113|-0.233737127|-0.228209674,1.77884846|1.96162069|1.02604095|1.05404095|1.71119791|1.90919268,0.339642406|-0.509990871|0.537846267,0.0712174475|0.228820443|-0.0157011691,0.0021439120173454285
2,0.15000000000000002,0.00479441328186081,0.12820816040039062,0.13034217059612274,0.424306720495224,0.12529240548610687,0.35,2,0,0,0,0.5457415580749512,5.062378883361816,157.35382080078125,0.540074348449707,1.0,0.28260383730488614,0,0,0,0,0.2965228116481846,0.0,filtered,0.028941932382700365,0,0,12,joint_2_acceleration_lower,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.28260383730488614,0.469338829|0.484338829|0.282603837|0.289603837|0.465676581|0.516111305,0.589338829|0.604338829|0.402603837|0.409603837|0.585676581|0.636111305,0.589338829|0.604338829|0.402603837|0.409603837|0.585676581|0.636111305,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.053060046|0.053060046|-0.0237678603|-0.0411741982,-0.119859244|0|-0.190346766|-0.190346766|-0.233704822|-0.228377749,1.75749607|1.93735531|0.993128629|1.02112863|1.60523364|1.79489327,0.343203306|-0.4985497|0.537060916,0.0712174475|0.228820443|-0.0157011691,0.003217807039618492
3,0.2,-0.008778142275679107,0.12300173193216324,0.122275710105896,0.41744986176490784,0.11565607041120529,0.35,2,0,0,0,0.5121461153030396,3.2710864543914795,139.8105926513672,0.5121461153030396,1.0,0.2759172219810483,0,0,0,0,0.2965228116481846,0.0,passthrough,6.868864518391848e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2759172219810483,0.463420122|0.478420122|0.275917222|0.282917222|0.45283537|0.502649971,0.583420122|0.598420122|0.395917222|0.402917222|0.57283537|0.622649971,0.583420122|0.598420122|0.395917222|0.402917222|0.57283537|0.622649971,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0579712458|0.0579712458|-0.00252218974|-0.0167789579,-0.116874121|0|-0.186098184|-0.186098184|-0.234001273|-0.228977217,1.73680637|1.91368049|0.975541949|1.00354195|1.57481802|1.76484371,0.346764207|-0.487108827|0.536275566,0.0712174475|0.228820443|-0.0157011691,0.002089384011924267
4,0.25,-0.005476751223714035,0.12300269305706024,0.11427383124828339,0.41085413098335266,0.11203575134277344,0.35,2,0,0,0,0.4941291809082031,1.9770194292068481,86.11589813232422,0.4941291809082031,1.0,0.2696755524520934,0,0,0,0,0.2965228116481846,0.0,passthrough,5.564169340383174e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2696755524520934,0.457652484|0.472652482|0.269675552|0.276675552|0.441023129|0.490358559,0.577652484|0.592652482|0.389675552|0.396675552|0.561023129|0.610358559,0.577652484|0.592652482|0.389675552|0.396675552|0.561023129|0.610358559,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0593563413|0.0593563413|0.00845124689|-0.00493434281,-0.113816293|0|-0.181733246|-0.181733246|-0.234155853|-0.229486697,1.71679364|1.89060993|0.956325305|0.984325305|1.53838791|1.7270132,0.350325108|-0.475667953|0.535490215,0.0712174475|0.228820443|-0.0157011691,0.002149594947695732
5,0.30000000000000004,-0.03795087768795087,0.13160935044288635,0.10774089395999908,0.40405622124671936,0.12001483142375946,0.35,2,0,0,0,0.42043447494506836,2.6799216270446777,46.23293685913086,0.42043447494506836,1.0,0.26371826176978796,0,0,0,0,0.2965228116481846,0.0,passthrough,5.155514378195523e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.26371826176978796,0.452039562|0.467039532|0.263718262|0.270718262|0.42975022|0.478635451,0.572039562|0.587039532|0.383718262|0.390718262|0.54975022|0.598635451,0.572039562|0.587039532|0.383718262|0.390718262|0.54975022|0.598635451,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0506212487|0.0506212487|0.0145983853|0.00387289798,-0.110685374|0|-0.177205556|-0.177205556|-0.234137309|-0.229782892,1.69747287|1.86815813|0.928288739|0.956288739|1.49946196|1.68863181,0.353886008|-0.46422708|0.534704864,0.0712174475|0.228820443|-0.0157011691,0.0021748458966612816
6,0.35000000000000003,-0.047566496055937435,0.12978848814964294,0.10200169682502747,0.3976234495639801,0.11788830906152725,0.35,2,0,0,0,0.401578813791275,1.6579023599624634,69.23709106445312,0.401578813791275,1.0,0.2575334366033953,0,0,0,0,0.2965228116481846,0.0,passthrough,5.172328821177052e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2575334366033953,0.446585015|0.461585015|0.257533437|0.264533437|0.418781513|0.467337215,0.566585015|0.581585015|0.377533437|0.384533437|0.538781513|0.587337215,0.566585015|0.581585015|0.377533437|0.384533437|0.538781513|0.587337215,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0542179898|0.0542179898|0.0179858221|0.00682369692,-0.107481124|0|-0.172853062|-0.172853062|-0.233993813|-0.22986603,1.67885894|1.84634006|0.911498674|0.939498674|1.45911806|1.64630653,0.357446909|-0.452786207|0.533919513,0.0712174475|0.228820443|-0.0157011691,0.002126217819750309
7,0.4,-0.07730817135489987,0.13489589095115662,0.09769539535045624,0.39119961857795715,0.12267304211854935,0.35,2,0,0,0,0.4031212031841278,2.892967939376831,67.06463623046875,0.4031212031841278,1.0,0.2517498737900381,0,0,0,0,0.2965228116481846,0.0,passthrough,6.184821445130396e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2517498737900381,0.441292514|0.456292514|0.251749874|0.258749874|0.407990621|0.456180171,0.561292514|0.576292514|0.371749874|0.378749874|0.527990621|0.576180171,0.561292514|0.576292514|0.371749874|0.378749874|0.527990621|0.576180171,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0496111028|0.0496111028|0.0437429074|0.0383304769,-0.104203458|0|-0.168248868|-0.168248868|-0.233885655|-0.230076928,1.6609666|1.82517006|0.88836173|0.91636173|1.44181974|1.63297423,0.36100781|-0.441345334|0.533134162,0.0712174475|0.228820443|-0.0157011691,0.002153468318283558
8,0.45,-0.0766105157304578,0.1379258781671524,0.09330033510923386,0.3848651349544525,0.12541760504245758,0.35,2,0,0,0,0.44773781299591064,1.9642220735549927,60.54071044921875,0.44773781299591064,1.0,0.24594259659870943,0,0,0,0,0.2965228116481846,0.0,passthrough,8.003962738951938e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.24594259659870943,0.436165728|0.451165728|0.245942597|0.252902624|0.39848711|0.446586635,0.556165728|0.571165728|0.365942597|0.372902624|0.51848711|0.566586635,0.556165728|0.571165728|0.365942597|0.372902624|0.51848711|0.566586635,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0476402193|0.047461741|0.0276248467|0.0212228641,-0.100852459|0|-0.16387286|-0.166008497|-0.233514178|-0.229946268,1.64381045|1.80466291|0.867537746|0.893063739|1.38805911|1.57762314,0.36456871|-0.429904461|0.532348812,0.0712174475|0.228820443|-0.0157011691,0.0020848391577601433
9,0.5,-0.11866875677035141,0.14628338813781738,0.0907837301492691,0.37840571999549866,0.1334327757358551,0.35,2,0,0,0,0.4699987769126892,3.465381145477295,72.09788513183594,0.4699987769126892,1.0,0.24027657574495676,0,0,0,0,0.2965228116481846,0.0,passthrough,8.857089625849487e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.24027657574495676,0.431208317|0.446208312|0.240276576|0.247033455|0.388205434|0.436152659,0.551208317|0.566208312|0.360276576|0.367033455|0.508205434|0.556152659,0.551208317|0.566208312|0.360276576|0.367033455|0.508205434|0.556152659,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0395721929|0.0413084656|0.0661363095|0.0669855431,-0.097428386|0|-0.159133238|-0.164521369|-0.23306594|-0.229730193,1.62740488|1.78483325|0.841545258|0.864920918|1.3858921|1.58186598,0.368129611|-0.418463588|0.531563461,0.0712174475|0.228820443|-0.0157011691,0.0021041715517640114
