step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,unavoidable_collision,avoidable_collision,collision_avoidability_reason,safe_stop_infeasible_first_step,safe_stop_infeasible_last_step,safe_stop_h_drift_mps,safe_stop_drift_class,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,qdot_policy_norm,task_space_goal_error_before_m,task_space_goal_error_after_m,task_space_goal_error_delta_m,task_space_requested_speed_mps,task_space_executed_speed_mps,task_space_requested_toward_goal_mps,task_space_executed_toward_goal_mps,task_space_filter_velocity_loss_mps,task_space_nominal_toward_goal_mps,task_space_recovery_active_for_command,residual_control_enabled,residual_control_mode,residual_control_base_qdot_norm,hierarchical_control_enabled,hierarchical_state,hierarchical_plan_reason,hierarchical_plan_iterations,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_ik_attempts_used,hierarchical_ik_fallback_used,hierarchical_ik_fallback_attempted,hierarchical_ik_target_shell_attempted,hierarchical_ik_target_shell_candidate_count,hierarchical_ik_goal_region_attempted,hierarchical_ik_goal_region_candidate_count,hierarchical_ik_goal_region_sample_count,hierarchical_ik_obstacle_aware_attempted,hierarchical_ik_obstacle_aware_candidate_count,hierarchical_ik_rejection_counts,hierarchical_ik_min_goal_error_m,hierarchical_ik_goal_reachable_count,hierarchical_ik_obstacle_free_goal_reachable_count,hierarchical_selected_path_predictive_h_m,hierarchical_selected_path_filter_intervention,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_consecutive_hold_steps,hierarchical_waypoint_index,hierarchical_waypoint_count,hierarchical_path_progress,hierarchical_residual_budget,hierarchical_nominal_qdot_norm,residual_qdot_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_reason,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_infeasible_constraint_categories,safety_filter_infeasibility_diagnostic_status,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_goal_velocity_primary_mps,safety_filter_goal_velocity_secondary_used,safety_filter_goal_velocity_secondary_status,safety_filter_command_alignment_previous,safety_filter_command_sign_change,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,safety_filter_goal_velocity_audit_status,safety_filter_max_feasible_goal_velocity_mps,safety_filter_projected_goal_velocity_mps,safety_filter_goal_velocity_feasibility_gap_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-1.4830674243921396,0.08872446417808533,0.8066459894180298,0.4529004395008087,0.07632208615541458,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.3696012794971466,7.392024993896484,147.8404998779297,0.0,0.0,0.8165710144666,0.8066459894180298,0.00992502504857018,0.0,0.22562343679348154,0.0,0.2049206812601116,-0.2049206812601116,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,9.253694911953062,9.253694911953062,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,0,0,0,1,5372,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 75, 'obstacle_contact': 5, 'self_collision': 0}",0.01810546901003409,64,64,nan,nan,0.0,not_enabled,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.28049618741071725,0,0,0,0,0.28049618741071725,0.0,filtered,linprog goal-velocity priority optimal,0.36960126033395,0,0,12,joint_0_acceleration_lower|joint_1_acceleration_lower|joint_2_acceleration_lower,workspace_z_lower,,,0,0,0,optimal; continuity_tiebreak,0.20992067837612546,1,continuity_tiebreak,0.0,0,goal_velocity_linprog,0.0,valid,0.28049618741071725,0.8899941220028984,0|0|0|0|0|0,0.449040528|0.283829473|0.280496187|0.357279735|0.387151669|0.441342281,0.623540234|0.458329179|0.454995894|0.531779441|0.561651375|0.615841988,0.569040528|0.403829473|0.400496187|0.477279735|0.507151669|0.561342281,0|0|0|0|0|0,9.1625674e-18|0.0032035157|-0.0414618382|-0.138455308|-0.162636501|-0.162167024,0|0|0|0|0|0,1.79616211|1.13852141|1.08052291|1.29066363|1.38597017|1.6032021,optimal,0.20992067837612546,0.2049206812601116,0.004999997116013871,0.522412837|-0.463916302|0.409347355,-0|0|-0,0.01827646605670452,0.003326471080072224,0.0015601899940520525,0.007630373002029955
1,0.1,-1.6920790291964298,0.20392891764640808,0.7863227725028992,0.44841137528419495,0.18374085426330566,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.7428443431854248,7.466094970703125,4.1066789627075195,0.0,0.0,0.8066459749435976,0.7863227725028992,0.020323202440698407,0.0,0.45206631050887475,0.0,0.41190827946325176,-0.41190827946325176,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,9.253694911953062,9.253694911953062,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,0,0,0,1,5372,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 75, 'obstacle_contact': 5, 'self_collision': 0}",0.01810546901003409,64,64,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.27185618585750526,0,0,0,0,0.28049618741071725,0.0,filtered,linprog goal-velocity priority optimal,0.7428443096183798,0,0,12,joint_0_acceleration_lower|joint_1_acceleration_lower|joint_2_acceleration_lower,workspace_z_lower,,,0,0,0,optimal; continuity_tiebreak,0.4169082764081718,1,continuity_tiebreak,0.9999160766601562,0,goal_velocity_linprog,0.0,valid,0.27185618585750526,0.8917532848863169,0|0.0934598495|0.112425259|0.210393722|0.241432823|0.226097855,0.44895257|0.283883286|0.271856186|0.330390556|0.355435801|0.409438473,0.623540234|0.458470951|0.44644385|0.50497822|0.530023465|0.584026137,0.56895257|0.403883286|0.391856186|0.450390556|0.475435801|0.529438473,0|0|0.15|0.15|0.15|0.15,0|0.0108919105|-0.0916904092|-0.262194844|-0.309517363|-0.314727759,0|0|0|0|0|0,1.79581028|1.14642506|0.995734334|1.05936738|1.11222584|1.32302613,optimal,0.4169082764081718,0.4119082794632518,0.004999996944919982,0.522412837|-0.463916302|0.409347355,-0|0|-0,0.017401206074282527,0.003637379966676235,0.0014512500492855906,0.006971860071644187
2,0.15000000000000002,-1.8336331298141442,0.31070053577423096,0.755416989326477,0.44103649258613586,0.2785589098930359,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.1239526271820068,7.632449626922607,8.393621444702148,0.0,0.0,0.786322761150279,0.755416989326477,0.030905771823801942,0.0,0.6803933625654699,0.0,0.6229846104064349,-0.6229846104064349,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,9.253694911953062,9.253694911953062,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,0,0,0,1,5372,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 75, 'obstacle_contact': 5, 'self_collision': 0}",0.01810546901003409,64,64,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.25984815778682674,0,0,0,0,0.28049618741071725,0.0,filtered,linprog goal-velocity priority optimal,1.1239525580188376,0,0,12,joint_0_acceleration_lower|joint_1_acceleration_lower|joint_2_acceleration_lower,workspace_z_lower,,,0,0,0,optimal; continuity_tiebreak,0.6279845926686496,1,continuity_tiebreak,0.9997650384902954,0,goal_velocity_linprog,0.0,valid,0.25984815778682674,0.894993131570334,0|0.185702042|0.236468478|0.421838203|0.484609787|0.453672562,0.448790578|0.284408581|0.259848158|0.298653313|0.317241451|0.370013788,0.623540234|0.459158238|0.434597814|0.47340297|0.491991107|0.544763444,0.568790578|0.404408581|0.379848158|0.418653313|0.437241451|0.490013788,0|0|0.15|0.15|0.15|0.15,0|0.0300393634|-0.153183924|-0.361956122|-0.433110663|-0.455424662,0|0|0|0|0|0,1.79516231|1.16767369|0.886208707|0.832657132|0.83585514|1.02463049,optimal,0.6279845926686496,0.6229846104064349,0.004999982262214653,0.522412837|-0.463916302|0.409347355,-0|0|-0,0.017642527003772557,0.004326700000092387,0.0014452629256993532,0.00667765096295625
3,0.2,-1.8390714500032872,0.36642736196517944,0.7186302542686462,0.4316284954547882,0.323085755109787,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.3615058660507202,5.1617326736450195,70.39873504638672,0.0,0.0,0.7554169743881293,0.7186302542686462,0.03678672011948303,0.0,0.7976255668677495,0.0,0.7353698738842867,-0.7353698738842867,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,9.253694911953062,9.253694911953062,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,0,0,0,1,5372,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 75, 'obstacle_contact': 5, 'self_collision': 0}",0.01810546901003409,64,64,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.24385328555287167,0,0,0,0,0.28049618741071725,0.0,filtered,linprog goal-velocity priority optimal,1.361505852138131,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.7403698860935822,1,continuity_tiebreak,0.996674656867981,0,goal_velocity_linprog,0.0,valid,0.24385328555287167,0.8992817240806056,5.20443275e-19|0.275890432|0.383919616|0.634700316|0.730405268|0.683539976,0.448576148|0.286099667|0.243853286|0.264309257|0.274273663|0.32361562,0.623540234|0.461063753|0.418817372|0.439273343|0.449237749|0.498579707,0.568576148|0.406099667|0.363853286|0.384309257|0.394273663|0.44361562,0|0|0.15|0.15|0.15|0.15,3.88621074e-19|0.0588006617|-0.193217211|-0.367584035|-0.451747253|-0.509120381,0|0|0|0|0|0,1.79430459|1.20319933|0.782195931|0.689652994|0.645347399|0.785342101,optimal,0.7403698860935822,0.7353698738842867,0.005000012209295579,0.522412837|-0.463916302|0.409347355,-0|0|-0,0.019174495013430715,0.0034643799299374223,0.0016167780850082636,0.008448890992440283
4,0.25,-1.7580539013431564,0.3729308247566223,0.6817649602890015,0.42175111174583435,0.32661008834838867,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4003511667251587,1.729080080986023,83.18930053710938,0.0,0.0,0.7186302834959011,0.6817649602890015,0.036865323206899614,0.0,0.8029996209057109,0.0,0.7394275741398662,-0.7394275741398662,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,9.253694911953062,9.253694911953062,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,0,0,0,1,5372,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 75, 'obstacle_contact': 5, 'self_collision': 0}",0.01810546901003409,64,64,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.22955440054802845,0,0,0,0,0.28049618741071725,0.0,filtered,linprog goal-velocity priority optimal,1.4003511622778542,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower|joint_4_velocity_lower,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.7444275867318005,1,continuity_tiebreak,0.9984355568885803,0,goal_velocity_linprog,0.0,valid,0.22955440054802845,0.9033641584268939,5.83020957e-17|0.318351093|0.491286137|0.742299639|0.855981619|0.801346041,0.448372026|0.289510769|0.229554401|0.239573812|0.241517486|0.284593648,0.623540234|0.464678977|0.404722608|0.41474202|0.416685694|0.459761856,0.568372026|0.409510769|0.349554401|0.359573812|0.361517486|0.404593648,0|0|0.15|0.15|0.15|0.15,3.96589618e-17|0.0861040962|-0.193233381|-0.335133322|-0.395984891|-0.485757998,0|0|0|0|0|0,1.7934881|1.24414717|0.724984222|0.623161926|0.570085055|0.652616592,optimal,0.7444275867318005,0.739427574139866,0.0050000125919344995,0.522412837|-0.463916302|0.409347355,-0|0|-0,0.02215744904242456,0.003276058007031679,0.0016393490368500352,0.007405776996165514
5,0.30000000000000004,-1.6815773116687185,0.37658554315567017,0.6452335715293884,0.4118756353855133,0.3297193944454193,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4030238389968872,1.2141377925872803,34.29804229736328,0.0,0.0,0.6817649681102664,0.6452335715293884,0.036531396580878006,0.0,0.8090280834791488,0.0,0.7360834157396023,-0.7360834157396023,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,9.253694911953062,9.253694911953062,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,0,0,0,1,5372,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 75, 'obstacle_contact': 5, 'self_collision': 0}",0.01810546901003409,64,64,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.21945467374267746,0,0,0,0,0.28049618741071725,0.0,filtered,linprog goal-velocity priority optimal,1.4030239134193006,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower|joint_4_velocity_lower,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.7410834282946517,1,continuity_tiebreak,0.9990639686584473,0,goal_velocity_linprog,0.0,valid,0.21945467374267746,0.9135424395653662,3.88613436e-17|0.31504317|0.535799597|0.743351894|0.861154457|0.806535925,0.447863112|0.293966343|0.219454674|0.222804125|0.220974595|0.257742942,0.623540234|0.469643465|0.395131796|0.398481247|0.396651717|0.433420064,0.567863112|0.413966343|0.339454674|0.342804125|0.340974595|0.377742942,0|0|0.15|0.15|0.15|0.15,2.69431162e-17|0.11220797|-0.179997093|-0.332137459|-0.346752058|-0.460616706,0|0|0|0|0|0,1.79145245|1.28807334|0.697821602|0.559079042|0.537146323|0.570355062,optimal,0.7410834282946517,0.7360834157396025,0.005000012555049227,0.522412837|-0.463916302|0.409347355,-0|0|-0,0.017593326047062874,0.0032677720300853252,0.001887624035589397,0.006838129949755967
6,0.35000000000000003,-1.6318915003698888,0.38373586535453796,0.6093485951423645,0.4025779664516449,0.32937315106391907,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4107273817062378,1.6315425634384155,8.348094940185547,0.0,0.0,0.6452335665322049,0.6093485951423645,0.03588497138984037,0.0,0.8159509600736738,0.0,0.7271043126247048,-0.7271043126247048,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,9.253694911953062,9.253694911953062,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,0,0,0,1,5372,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 75, 'obstacle_contact': 5, 'self_collision': 0}",0.01810546901003409,64,64,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.20418130707096255,0,0,0,0,0.28049618741071725,0.0,filtered,linprog goal-velocity priority optimal,1.4107274186251775,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower|joint_4_velocity_lower,predictive_link_5,,,0,0,0,optimal; continuity_tiebreak,0.7321043251318153,1,continuity_tiebreak,0.9983338713645935,0,goal_velocity_linprog,0.0,valid,0.20418130707096255,0.9252307569266967,0|0.311952251|0.579463527|0.784505314|0.867661712|0.812441774,0.447278696|0.299616022|0.211057786|0.205042493|0.204181307|0.234001608,0.623540234|0.47587756|0.387319324|0.381304031|0.380442845|0.410263146,0.567278696|0.419616022|0.331057786|0.325042493|0.324181307|0.354001608,0|0|0.15|0.15|0.15|0.15,0|0.136849273|-0.152957752|-0.303429542|-0.282550399|-0.423431899,0|0|0|0|0|0,1.78911479|1.33531336|0.69127339|0.516740428|0.534174829|0.512574532,optimal,0.7321043251318153,0.7271043126247049,0.005000012507110463,0.522412837|-0.463916302|0.409347355,-0|0|-0,0.01937885698862374,0.0031834159744903445,0.0018664749804884195,0.00847392890136689
7,0.4,-1.572012377704832,0.38470011949539185,0.574500560760498,0.3945141136646271,0.3242636024951935,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.425879955291748,1.9357943534851074,6.085035800933838,0.0,0.0,0.6093485694418656,0.574500560760498,0.034848008681367504,0.0,0.8238905237755834,0.0,0.7111849051438215,-0.7111849051438215,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,9.253694911953062,9.253694911953062,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,0,0,0,1,5372,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 75, 'obstacle_contact': 5, 'self_collision': 0}",0.01810546901003409,64,64,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.19084790387209805,0,0,0,0,0.28049618741071725,0.0,filtered,linprog goal-velocity priority optimal,1.425880001621301,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower|joint_4_velocity_lower,predictive_link_5,,,0,0,0,optimal; continuity_tiebreak,0.7161849163613839,1,continuity_tiebreak,0.9977284669876099,0,goal_velocity_linprog,0.0,valid,0.19084790387209805,0.9365867924570169,0|0.309111235|0.620772684|0.838183999|0.875159709|0.819495572,0.446710895|0.306473786|0.205253675|0.190847904|0.192016685|0.213261037,0.623540234|0.483303125|0.382083015|0.367677243|0.368846024|0.390090377,0.566710895|0.426473786|0.325253675|0.310847904|0.312016685|0.333261037,0|0|0.15|0.15|0.15|0.15,0|0.159833834|-0.111229314|-0.213055633|-0.203150309|-0.373350626,0|0|0|0|0|0,1.78684358|1.38572898|0.709785387|0.550335983|0.56491643|0.479693522,optimal,0.7161849163613839,0.7111849051438215,0.005000011217562439,0.522412837|-0.463916302|0.409347355,-0|0|-0,0.017067122040316463,0.0034230579622089863,0.0015589069807901978,0.0064326440915465355
8,0.45,-1.4903093604977813,0.3759060800075531,0.541191816329956,0.3801271915435791,0.312234103679657,1.0,3,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4502063989639282,2.1570258140563965,4.424629211425781,0.0,0.0,0.5745005429012933,0.541191816329956,0.03330872657133721,0.0,0.8330235420977488,0.0,0.6864194135447034,-0.6864194135447034,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,9.253694911953062,9.253694911953062,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,0,0,0,1,5372,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 75, 'obstacle_contact': 5, 'self_collision': 0}",0.01810546901003409,64,64,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.18323440571818,0,0,0,0,0.28049618741071725,0.0,filtered,linprog goal-velocity priority optimal,1.4502064348478607,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower|joint_4_velocity_lower,predictive_link_5,,,0,0,0,optimal; continuity_tiebreak,0.6914194251485082,1,continuity_tiebreak,0.9973304867744446,0,goal_velocity_linprog,0.0,valid,0.18323440571818,0.9476857774723745,0|0.306540718|0.658545578|0.883443618|0.883443618|0.827809509,0.446155945|0.314449116|0.202792366|0.183234406|0.185234406|0.196248599,0.623540234|0.491833405|0.380176655|0.360618695|0.362618695|0.373632888,0.566155945|0.434449116|0.322792366|0.303234406|0.305234406|0.316248599,0|0|0.15|0.15|0.15|0.15,0|0.181013888|-0.0551353055|-0.109584403|-0.109584403|-0.30896903,0|0|0|0|0|0,1.78462378|1.43881035|0.75603416|0.62335322|0.63135322|0.476025367,optimal,0.6914194251485082,0.6864194135447034,0.00500001160380481,0.522412837|-0.463916302|0.409347355,-0|0|-0,0.016601216048002243,0.0031396850245073438,0.0014438420766964555,0.006606661947444081
9,0.5,-1.3702443269008362,0.35236719250679016,0.5100745558738708,0.37015125155448914,0.2896874248981476,1.0,3,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4845467805862427,2.3111467361450195,3.082418441772461,0.0,0.0,0.5411918082029104,0.5100745558738708,0.031117252329039502,0.0,0.8435378219893804,0.0,0.6501560437143848,-0.6501560437143848,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,9.253694911953062,9.253694911953062,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,0,0,0,1,5372,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 75, 'obstacle_contact': 5, 'self_collision': 0}",0.01810546901003409,64,64,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.18246802025038555,0,0,0,0,0.28049618741071725,0.0,filtered,linprog goal-velocity priority optimal,1.4845467889210258,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower|joint_4_velocity_lower,predictive_link_5,,,0,0,0,optimal; continuity_tiebreak,0.6551560547194973,1,continuity_tiebreak,0.9971725940704346,0,goal_velocity_linprog,0.0,valid,0.18246802025038555,0.9585628222095519,0|0.304260296|0.691872361|0.892388002|0.892388002|0.837547428,0.445612093|0.323447207|0.20411965|0.18246802|0.184461988|0.18377419,0.623540234|0.501375348|0.382047791|0.360396161|0.362390129|0.361702331,0.565612093|0.443447207|0.32411965|0.30246802|0.304461988|0.30377419,0|0|0.126734019|0.15|0.15|0.15,0|0.200286846|-0.00443121129|-0.00446554423|-0.0106542062|-0.229384921,0|0|0|0|0|0,1.78244837|1.49407567|0.812047389|0.725406537|0.727193744|0.505711839,optimal,0.6551560547194973,0.6501560437143847,0.0050000110051126034,0.522412837|-0.463916302|0.409347355,-0|0|-0,0.019072456983849406,0.003582112956792116,0.0015888820635154843,0.00815504603087902
10,0.55,-1.1875754538938217,0.30695465207099915,0.4819936156272888,0.36554351449012756,0.25031694769859314,1.0,3,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.5287467241287231,2.404327392578125,1.8636131286621094,0.0,0.0,0.5100745696238449,0.4819936156272888,0.02808095399655608,0.0,0.8555928774779697,0.0,0.5988983158842065,-0.5988983158842065,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,9.253694911953062,9.253694911953062,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,0,0,0,1,5372,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 75, 'obstacle_contact': 5, 'self_collision': 0}",0.01810546901003409,64,64,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.17667874312265486,0,0,0,0,0.28049618741071725,0.0,filtered,linprog goal-velocity priority optimal,1.5287467832013755,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower|joint_4_velocity_lower,workspace_z_upper,,,0,0,0,optimal; continuity_tiebreak,0.6038983252035472,1,continuity_tiebreak,0.9972465634346008,0,goal_velocity_linprog,0.0,valid,0.17667874312265486,0.9692205856044717,1.21438355e-18|0.300691142|0.720086421|0.901924063|0.901924063|0.84890062,0.445079205|0.333367167|0.205543939|0.184993202|0.186027546|0.176678743,0.623540234|0.511828196|0.384004968|0.363454232|0.364488576|0.355139772,0.565079205|0.453367167|0.325543939|0.304993202|0.306027546|0.296678743,0|0|0.0454438729|0.0890676574|0.15|0.15,-5.63881128e-19|0.216437593|-0.00189387324|0.0042301834|-0.0670463509|-0.134737005,0|0|0|0|0|0,1.78031682|1.54990626|0.820281883|0.744202993|0.677063834|0.571977968,optimal,0.6038983252035472,0.5988983158842065,0.005000009319340748,0.522412837|-0.463916302|0.409347355,-0|0|-0,0.02383899304550141,0.004858092055656016,0.002053273026831448,0.009919529082253575
11,0.6000000000000001,-0.9156812676237723,0.23128890991210938,0.4581315517425537,0.3630940914154053,0.18313999474048615,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.5638115406036377,1.654510498046875,14.996337890625,0.0,0.0,0.48199360893411053,0.4581315517425537,0.023862057191556818,0.0,0.866862954782086,0.0,0.5258985994713572,-0.5258985994713572,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,9.253694911953062,9.253694911953062,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,0,0,0,1,5372,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 75, 'obstacle_contact': 5, 'self_collision': 0}",0.01810546901003409,64,64,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.17574076264003535,0,0,0,0,0.28049618741071725,0.0,filtered,linprog goal-velocity priority optimal,1.5638115980805936,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower|joint_4_velocity_lower,workspace_z_upper,,,0,0,0,optimal; continuity_tiebreak,0.5308986072326968,1,continuity_tiebreak,0.9988259077072144,0,goal_velocity_linprog,0.0,valid,0.17574076264003535,0.9796283006185003,0|0.286901011|0.735944951|0.911872113|0.907111325|0.861938955,0.444558819|0.34383385|0.205716824|0.186180234|0.184836271|0.175740763,0.623540234|0.522815265|0.384698239|0.365161649|0.363817686|0.354722178,0.564558819|0.46383385|0.325716824|0.306180234|0.304836271|0.295740763,0|0|0|0.0210050724|0.106650774|0.15,0|0.222356571|0.0352190628|0.0028020052|-0.0891781128|-0.0274600814,0|0|0|0|0|0,1.77823528|1.59769197|0.858086357|0.74752294|0.650166971|0.675502969,optimal,0.5308986072326968,0.5258985994713572,0.0050000077613395755,0.522412837|-0.463916302|0.409347355,-0|0|-0,0.024019230040721595,0.005292613059282303,0.0019614449702203274,0.009387857047840953
