step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.7619820924238775,0.1394117772579193,0.6129803657531738,0.3213030695915222,0.10965193808078766,0.35,5,0,0,0,0.4771231710910797,9.542462348937988,190.84925842285156,0.5492991805076599,1.0,0.1379185754434844,0,0,0,0,0.1379185754434844,0.0,filtered,0.08246774809479773,0,0,12,joint_1_acceleration_lower,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.1379185754434844,0.494426939|0.509426939|0.473206354|0.24610461|0.204725599|0.137918575,0.644426939|0.659426939|0.623206354|0.39610461|0.354725599|0.287918575,0.614426939|0.629426939|0.593206354|0.36610461|0.324725599|0.257918575,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0478621452|0.208941706|0.252757059|0.23200572,-0.222666741|0|-0.242725956|-0.216032686|-0.206390669|-0.221160035,1.75504102|2.03770776|1.6979616|0.97732746|0.865268786|0.562519986,0.584578812|0.556353867|0.251201838,-0.0978216529|-0.243980855|0.040338669,0.0049750590696930885,0.0013624830171465874,0.0013614082708954811,0.0021613622084259987
1,0.1,-0.6140254793561246,0.12841813266277313,0.5997294187545776,0.33045822381973267,0.10149193555116653,0.35,5,0,0,0,0.8207176923751831,6.909153938293457,57.1280403137207,0.8207172155380249,1.0,0.13811762034731867,0,0,0,0,0.1379185754434844,0.0,filtered,8.223821064377499e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.13811762034731867,0.483327928|0.498327928|0.463242145|0.245271632|0.206599171|0.13811762,0.633327928|0.648327928|0.613242145|0.395271632|0.356599171|0.28811762,0.603327928|0.618327928|0.583242145|0.365271632|0.326599171|0.25811762,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0802461358|0.366473594|0.443202607|0.412867623,-0.221298851|0|-0.241629555|-0.213260943|-0.202728957|-0.217133815,1.71201286|1.99331171|1.69158516|1.13429918|1.06687033|0.74820429,0.579687893|0.54415518|0.253218859,-0.0978216529|-0.243980855|0.040338669,0.004807807505130768,0.0014209253713488579,0.0013549355790019035,0.0019395900890231133
2,0.15000000000000002,-0.5235791786330083,0.11414986103773117,0.584437370300293,0.3458333909511566,0.09840517491102219,0.35,5,0,0,0,0.99407958984375,3.939683198928833,82.6389389038086,0.9940794110298157,1.0,0.14795566450708297,0,0,0,0,0.1379185754434844,0.0,filtered,5.863459811618774e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.14795566450708297,0.472298788|0.487298788|0.455015016|0.252742161|0.218470981|0.147955665,0.622298788|0.637298788|0.605015016|0.402742161|0.368470981|0.297955665,0.592298788|0.607298788|0.575015016|0.372742161|0.338470981|0.267955665,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0958771513|0.464075086|0.563782496|0.530518638,-0.219871361|0|-0.240180614|-0.210226479|-0.198828648|-0.212313565,1.66932379|1.94919515|1.6757566|1.26481725|1.23883777|0.910027731,0.574796975|0.531956494|0.255235881,-0.0978216529|-0.243980855|0.040338669,0.004847177304327488,0.001413397490978241,0.001342003233730793,0.001990901306271553
3,0.2,-0.4865470940598769,0.1018441841006279,0.5696955323219299,0.36487123370170593,0.09965857118368149,0.35,5,0,0,0,1.1105523109436035,3.082198143005371,51.48650360107422,1.1105519533157349,1.0,0.16407979552051577,0,0,0,0,0.1379185754434844,0.0,filtered,8.086545103458259e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.16407979552051577,0.461342575|0.476342575|0.447646261|0.265333486|0.236644304|0.164079796,0.611342575|0.626342575|0.597646261|0.415333486|0.386644304|0.314079796,0.581342575|0.596342575|0.567646261|0.385333486|0.356644304|0.284079796,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0981089877|0.513825631|0.627697588|0.59819205,-0.218381176|0|-0.238433728|-0.207112405|-0.195002275|-0.207108462,1.62698913|1.9053703|1.6502603|1.36804717|1.37927253|1.04740277,0.569906056|0.519757807|0.257252902,-0.0978216529|-0.243980855|0.040338669,0.003946029581129551,0.001375698484480381,0.0009040841832756996,0.0015926109626889229
4,0.25,-0.4868061982585667,0.10334914922714233,0.5565581917762756,0.3852829337120056,0.10097216069698334,0.35,5,0,0,0,1.1882202625274658,2.0374915599823,42.31621551513672,1.1882199048995972,1.0,0.18387795281608343,0,0,0,0,0.1379185754434844,0.0,filtered,9.189670986756309e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.18387795281608343,0.450462505|0.465462485|0.440481249|0.280578516|0.258195174|0.183877953,0.600462505|0.615462485|0.590481249|0.430578516|0.408195174|0.333877953,0.570462505|0.585462485|0.560481249|0.400578516|0.378195174|0.303877953,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0884005031|0.518669656|0.639829174|0.620891262,-0.216825034|0|-0.236455525|-0.204011439|-0.191404608|-0.201885761,1.58502499|1.86184994|1.61386997|1.43697228|1.48120526|1.15451731,0.565015137|0.507559121|0.259269923,-0.0978216529|-0.243980855|0.040338669,0.004550812765955925,0.0012459717690944672,0.0012821219861507416,0.0019426830112934113
5,0.30000000000000004,-0.5017743484211417,0.10493075847625732,0.5455235242843628,0.40591728687286377,0.10234826803207397,0.35,5,0,0,0,1.2224973440170288,1.6606435775756836,27.03811264038086,1.222496747970581,1.0,0.20499851560180427,0,0,0,0,0.1379185754434844,0.0,filtered,1.0272183334692372e-06,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.20499851560180427,0.439661869|0.454661859|0.432947995|0.296178274|0.280463638|0.204998516,0.589661869|0.604661859|0.582947995|0.446178274|0.430463638|0.354998516,0.559661869|0.574661859|0.552947995|0.416178274|0.400463638|0.324998516,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0747221259|0.503799498|0.629297659|0.62085287,-0.215199476|0|-0.234369291|-0.201017851|-0.188117615|-0.197063816,1.543448|1.81864744|1.57214481|1.48749474|1.5630346|1.24378312,0.560124218|0.495360285|0.261286944,-0.0978216529|-0.243980855|0.040338669,0.0043300436809659,0.001205967739224434,0.0011653285473585129,0.0018804613500833511
6,0.35000000000000003,-0.5266442845769623,0.10659182071685791,0.5368198752403259,0.42561477422714233,0.10378905385732651,0.35,5,0,0,0,1.225081443786621,1.915697693824768,18.048242568969727,1.2250807285308838,1.0,0.22628448867402107,0,0,0,0,0.1379185754434844,0.0,filtered,1.12746952102053e-06,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.22628448867402107,0.428944191|0.443944187|0.424868063|0.311153693|0.302311137|0.226284489,0.578944191|0.593944187|0.574868063|0.461153693|0.452311137|0.376284489,0.548944191|0.563944187|0.544868063|0.431153693|0.422311137|0.346284489,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0584850092|0.469914644|0.596220218|0.597823021,-0.213500869|0|-0.232253435|-0.198158104|-0.185133327|-0.192663662,1.50227589|1.77577675|1.52570383|1.51637131|1.62033144|1.31029731,0.5552333|0.483161241|0.263303965,-0.0978216529|-0.243980855|0.040338669,0.004788043908774853,0.001405595801770687,0.0014144238084554672,0.001884126104414463
7,0.4,-0.524443515715682,0.10833509266376495,0.5287789702415466,0.4408664107322693,0.10529667884111404,0.35,5,0,0,0,1.153859257698059,4.037714958190918,53.74141311645508,1.2031606435775757,1.0,0.24658428729069026,0,0,0,0,0.1379185754434844,0.0,filtered,0.08571836837681587,0,1,12,workspace_z_upper,workspace_z_upper,0,0,1,solved,osqp,7.855954775592977e-11,valid,0.24658428729069026,0.418313349|0.433313349|0.416123477|0.324572108|0.322179788|0.246584287,0.568313349|0.583313349|0.566123477|0.474572108|0.472179788|0.396584287,0.538313349|0.553313349|0.536123477|0.444572108|0.442179788|0.366584287,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0314316355|0.368652462|0.460415534|0.49946049,-0.211725435|0|-0.230191939|-0.195401126|-0.185962943|-0.188611296,1.46152796|1.7332534|1.4657336|1.47153977|1.56317174|1.29718634,0.550342381|0.470962197|0.265320987,-0.0978216529|-0.243980855|0.040338669,0.00487466249614954,0.0014449004083871841,0.0014292430132627487,0.0019030747935175896
8,0.45,-0.5090853136310673,0.1169019490480423,0.5203321576118469,0.4517015218734741,0.11330530792474747,0.35,5,0,0,0,1.130048155784607,5.229610919952393,36.36109161376953,1.1558496952056885,1.0,0.2623557679866705,0,0,0,0,0.1379185754434844,0.0,filtered,0.05653519789412908,0,1,12,workspace_z_upper|joint_4_acceleration_upper,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.2623557679866705,0.407773284|0.422773284|0.406247745|0.333279828|0.334525631|0.262355768,0.557773284|0.572773284|0.556247745|0.483279828|0.484525631|0.412355768,0.527773284|0.542773284|0.526247745|0.453279828|0.454525631|0.382355768,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.00608146975|0.269211708|0.312266955|0.406021373,-0.209869168|0|-0.228413333|-0.194413674|-0.189248268|-0.185103916,1.42122397|1.69109313|1.40265912|1.40791735|1.46112121|1.27034053,0.545451462|0.458763152|0.267338008,-0.0978216529|-0.243980855|0.040338669,0.005043186247348785,0.00139715988188982,0.0014009131118655205,0.002154111862182617
9,0.5,-0.5052611912154692,0.13028904795646667,0.5119224786758423,0.4585651755332947,0.1263366937637329,0.35,5,0,0,0,1.131183385848999,4.708625793457031,26.5823974609375,1.1463050842285156,1.0,0.2736806433598604,0,0,0,0,0.1379185754434844,0.0,filtered,0.0394939074240224,0,1,12,workspace_z_upper,workspace_z_upper,0,0,1,solved,osqp,2.897304618443286e-11,valid,0.2736806433598604,0.397328141|0.412328141|0.395222082|0.336677077|0.339516879|0.273680643,0.547328141|0.562328141|0.545222082|0.486677077|0.489516879|0.423680643,0.517328141|0.532328141|0.515222082|0.456677077|0.459516879|0.393680643,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.0102702642|0.179393199|0.196537128|0.32455047,-0.207927861|0|-0.226994729|-0.197120075|-0.190854013|-0.181771081,1.3813847|1.64931256|1.34362333|1.32898143|1.36375063|1.23750196,0.540560544|0.446564108|0.269355029,-0.0978216529|-0.243980855|0.040338669,0.004951592534780502,0.001539844088256359,0.0013999324291944504,0.001919737085700035
