step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s
0,0.05,-0.20189828818020486,0.053908806294202805,0.341808557510376,0.5254085063934326,0.053317345678806305,0.35,5,0,0,0,0.33531925082206726,6.706384658813477,134.12770080566406,0.3542257249355316,1.0,0.39002211866547987,0,0,0,0,0.39002211866547987,0.0,filtered,0.030297342023924593,0,0,12,joint_3_acceleration_lower,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.39002211866547987,0.746160027|0.761160027|0.579395649|0.390410564|0.392410564|0.390022119,0.866160027|0.881160027|0.699395649|0.510410564|0.512410564|0.510022119,0.866160027|0.881160027|0.699395649|0.510410564|0.512410564|0.510022119,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.000871713161|0.0906687218|0.0906687218|0.0799849283,-0.0999734006|0|-0.120985903|-0.123414179|-0.123414179|-0.11357566,2.88466671|3.04464011|2.19572498|1.5288968|1.5368968|1.52649774,0.668497741|0.609532952|0.573651314,-0.0455307439|-0.121903658|0.00229429314,0.0031551076099276543
1,0.1,-0.09326803470028103,0.050369516015052795,0.33184292912483215,0.525866687297821,0.04975053668022156,0.35,5,0,0,0,0.5353849530220032,4.517045974731445,80.2590103149414,0.5353848934173584,1.0,0.3883577030082205,0,0,0,0,0.39002211866547987,0.0,filtered,2.2120208940584843e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3883577030082205,0.74116964|0.75616964|0.573313042|0.388765253|0.390765253|0.388357703,0.86116964|0.87616964|0.693313042|0.508765253|0.510765253|0.508357703,0.86116964|0.87616964|0.693313042|0.508765253|0.510765253|0.508357703,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0113487573|0.147233327|0.147233327|0.120055815,-0.0996274675|0|-0.120966654|-0.123177951|-0.123177951|-0.113184771,2.86505109|3.02467856|2.18363427|1.57911639|1.58711639|1.56030186,0.666221082|0.603437543|0.573765755,-0.0455307439|-0.121903658|0.00229429314,0.002141292206943035
2,0.15000000000000002,-0.011222637729845532,0.04462849721312523,0.31865161657333374,0.5272713303565979,0.0444965735077858,0.35,5,0,0,0,0.6586535573005676,3.098484992980957,47.588844299316406,0.6586535573005676,1.0,0.38884182357656705,0,0,0,0,0.39002211866547987,0.0,passthrough,6.956663958621129e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.38884182357656705,0.736196679|0.751196639|0.56787706|0.390047459|0.392047459|0.388841824,0.856196679|0.871196639|0.68787706|0.510047459|0.512047459|0.508841824,0.856196679|0.871196639|0.68787706|0.510047459|0.512047459|0.508841824,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0341562893|0.179556733|0.179556733|0.13680344,-0.099276358|0|-0.12098996|-0.123055547|-0.123055547|-0.113007812,2.84551036|3.00478655|2.18467457|1.61669102|1.62469102|1.57916292,0.663944423|0.597342134|0.573880196,-0.0455307439|-0.121903658|0.00229429314,0.0031512929126620293
3,0.2,0.03929258646596161,0.044577062129974365,0.30369123816490173,0.5297276377677917,0.04444005712866783,0.35,5,0,0,0,0.7226977944374084,3.0990748405456543,51.6976432800293,0.7226977944374084,1.0,0.3902273484733968,0,0,0,0,0.39002211866547987,0.0,filtered,3.081861064320873e-08,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3902273484733968,0.731241405|0.746241403|0.563572054|0.392965258|0.394965258|0.390227348,0.851241405|0.866241403|0.683572054|0.512965258|0.514965258|0.510227348,0.851241405|0.866241403|0.683572054|0.512965258|0.514965258|0.510227348,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0587785525|0.205292742|0.205292742|0.156817469,-0.0989199869|0|-0.120978532|-0.123136722|-0.123136722|-0.113139345,2.82604563|2.98496561|2.19208824|1.65401705|1.66201705|1.60458752,0.661667764|0.591246724|0.573994637,-0.0455307439|-0.121903658|0.00229429314,0.0032317573204636574
4,0.25,0.056047799591198946,0.04452595114707947,0.28880590200424194,0.5337057113647461,0.0443836972117424,0.35,5,0,0,0,0.7573803067207336,2.3336710929870605,40.14316177368164,0.7573802471160889,1.0,0.3926246729837358,0,0,0,0,0.39002211866547987,0.0,filtered,1.7841468070562816e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3926246729837358,0.726304082|0.741304082|0.560470456|0.397154174|0.399154174|0.392624673,0.846304082|0.861304082|0.680470456|0.517154174|0.519154174|0.512624673,0.846304082|0.861304082|0.680470456|0.517154174|0.519154174|0.512624673,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0721273161|0.230567623|0.230567623|0.187951133,-0.098558268|0|-0.120899532|-0.123400349|-0.123400349|-0.113545453,2.80665806|2.96521633|2.19310961|1.69578397|1.70378397|1.64490437,0.659391105|0.585151315|0.574109077,-0.0455307439|-0.121903658|0.00229429314,0.0021658027544617653
5,0.30000000000000004,0.06729134683503134,0.04447519779205322,0.27423256635665894,0.5389196872711182,0.04432753100991249,0.35,5,0,0,0,0.7822184562683105,1.2103558778762817,28.98636817932129,0.7822182774543762,1.0,0.3965357497467291,0,0,0,0,0.39002211866547987,0.0,filtered,3.2331153209750953e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3965357497467291,0.721384981|0.736384981|0.558021364|0.402561629|0.404561629|0.39653575,0.841384981|0.856384981|0.678021364|0.522561629|0.524561629|0.51653575,0.841384981|0.856384981|0.678021364|0.522561629|0.524561629|0.51653575,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.073152898|0.246636692|0.246636692|0.213576267,-0.0981911141|0|-0.120777847|-0.123691624|-0.123691624|-0.114007389,2.78734881|2.94553993|2.18446051|1.73319159|1.74119159|1.68571188,0.657114446|0.579055905|0.574223518,-0.0455307439|-0.121903658|0.00229429314,0.0022672023624181747
6,0.35000000000000003,0.08392756600410897,0.044424835592508316,0.2596020996570587,0.5449704527854919,0.04427158460021019,0.35,5,0,0,0,0.7961663603782654,1.4474070072174072,34.70999526977539,0.7961658835411072,1.0,0.40169000285973644,0,0,0,0,0.39002211866547987,0.0,filtered,7.21485389428156e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.40169000285973644,0.716484376|0.731484376|0.55563022|0.408741929|0.410741929|0.401690003,0.836484376|0.851484376|0.67563022|0.528741929|0.530741929|0.521690003,0.836484376|0.851484376|0.67563022|0.528741929|0.530741929|0.521690003,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0638351802|0.252793278|0.252793278|0.230820513,-0.0978184364|0|-0.120654983|-0.123939649|-0.123939649|-0.114419879,2.76811907|2.9259375|2.16570108|1.76382134|1.77182134|1.72316065,0.654837787|0.572960496|0.574337959,-0.0455307439|-0.121903658|0.00229429314,0.002578667365014553
7,0.4,0.09213062682675269,0.04437490552663803,0.24532689154148102,0.5506949424743652,0.044215887784957886,0.35,5,0,0,0,0.8000327944755554,0.8811714053153992,26.415178298950195,0.8000321388244629,1.0,0.40769697467273713,0,0,0,0,0.39002211866547987,0.0,filtered,1.0544654382941767e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.40769697467273713,0.711602544|0.726602544|0.552802952|0.415231114|0.417231114|0.407696975,0.831602544|0.846602544|0.672802952|0.535231114|0.537231114|0.527696975,0.831602544|0.846602544|0.672802952|0.535231114|0.537231114|0.527696975,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0600070854|0.241529435|0.241529435|0.224834063,-0.0974401453|0|-0.120577764|-0.124106715|-0.124106715|-0.114723841,2.74897003|2.90641017|2.15064113|1.77834718|1.78634718|1.74089812,0.652561128|0.566865087|0.5744524,-0.0455307439|-0.121903658|0.00229429314,0.0022885706275701523
8,0.45,0.09261461710965618,0.044325441122055054,0.2317451685667038,0.5555359721183777,0.04416048154234886,0.35,5,0,0,0,0.7927324771881104,1.0922865867614746,13.552586555480957,0.792731761932373,1.0,0.41337939893602427,0,0,0,0,0.39002211866547987,0.0,filtered,1.208891477852522e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.41337939893602427,0.706739768|0.721739768|0.549789897|0.421145555|0.423145555|0.413379399,0.826739768|0.841739768|0.669789897|0.541145555|0.543145555|0.533379399,0.826739768|0.841739768|0.669789897|0.541145555|0.543145555|0.533379399,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0560453161|0.221825015|0.221825015|0.207877136,-0.0970561498|0|-0.120500073|-0.12427183|-0.12427183|-0.115016082,2.72990292|2.88695907|2.13470483|1.78213541|1.79013541|1.74637865,0.650284469|0.560769677|0.574566841,-0.0455307439|-0.121903658|0.00229429314,0.0024557290598750114
9,0.5,0.09351481403062281,0.04427647218108177,0.2187657356262207,0.5595383644104004,0.04410538822412491,0.35,5,0,0,0,0.7828919291496277,1.102780818939209,9.892251968383789,0.7828912138938904,1.0,0.4181788252486788,0,0,0,0,0.39002211866547987,0.0,filtered,1.2082188562261709e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.4181788252486788,0.701896337|0.716896337|0.546579331|0.426058446|0.428058446|0.418178825,0.821896337|0.836896337|0.666579331|0.546058446|0.548058446|0.538178825,0.821896337|0.836896337|0.666579331|0.546058446|0.548058446|0.538178825,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0508396449|0.202914556|0.202914556|0.19174427,-0.0966663578|0|-0.120409985|-0.124443737|-0.124443737|-0.115303726,2.71091899|2.86758535|2.11674699|1.7827046|1.7907046|1.74915584,0.64800781|0.554674268|0.574681282,-0.0455307439|-0.121903658|0.00229429314,0.0023176316171884537
