step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,safety_filter_solve_time_s
0,0.05,-0.41089956083126716,0.07657088339328766,0.45937690138816833,0.44914764165878296,0.07222703844308853,0.35,5,0,0,0,0.3627084791660309,7.25416898727417,145.0833740234375,0.40283188223838806,1.0,0.3108313353767355,0,0,0,0.0,filtered,0.04936884706611206,0,0,12,joint_3_acceleration_lower|joint_5_acceleration_upper,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3108313353767355,0.0032979771494865417
1,0.1,-0.28471597537337867,0.06995846331119537,0.44862881302833557,0.45436638593673706,0.06721403449773788,0.35,5,0,0,0,0.6729292273521423,7.541537761688232,123.06425476074219,0.672927975654602,1.0,0.3097006470738818,0,0,0,0.0,filtered,1.6133676270464668e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3097006470738818,0.002939196303486824
2,0.15000000000000002,-0.18684762380649494,0.07080765068531036,0.433991402387619,0.46238428354263306,0.06792920082807541,0.35,5,0,0,0,0.893608808517456,5.306872844696045,62.90022659301758,0.8936077952384949,1.0,0.3149294200992517,0,0,0,0.0,filtered,1.3154350199013451e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3149294200992517,0.002798709087073803
3,0.2,-0.11526025862693594,0.07170066982507706,0.41697636246681213,0.47128826379776,0.06868281960487366,0.35,5,0,0,0,0.9697242379188538,4.57354736328125,105.70236206054688,0.9697235822677612,1.0,0.32287707147271844,0,0,0,0.0,filtered,9.758205645006825e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.32287707147271844,0.0018689176067709923
4,0.25,-0.05979326350616247,0.07263918966054916,0.39858388900756836,0.4759318232536316,0.06947650015354156,0.35,3,0,0,0,1.0244600772857666,2.191718339920044,56.16726303100586,1.0244593620300293,1.0,0.32994273566081717,0,0,0,0.0,filtered,9.231115240230997e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.32994273566081717,0.0017369966953992844
5,0.30000000000000004,-0.01959597991544143,0.07362494617700577,0.37954849004745483,0.47983402013778687,0.07031185925006866,0.35,3,0,0,0,1.0567302703857422,2.222841501235962,72.93283081054688,1.0567294359207153,1.0,0.3335459589532979,0,0,0,0.0,filtered,1.3745958800113805e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3335459589532979,0.001913529820740223
6,0.35000000000000003,0.01195033187755598,0.07465969026088715,0.3602883815765381,0.47655460238456726,0.07119055837392807,0.35,2,0,0,0,1.0752394199371338,2.136573314666748,16.953655242919922,1.0752394199371338,1.0,0.3374005815633769,0,0,0,0.0,passthrough,4.84351053515543e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3374005815633769,0.0018074465915560722
7,0.4,0.03758041183594486,0.07574516534805298,0.3410492539405823,0.47291794419288635,0.07211428880691528,0.35,2,0,0,0,1.0641354322433472,1.8695802688598633,23.83528709411621,1.0641354322433472,1.0,0.33503687170827073,0,0,0,0.0,passthrough,4.376105884118111e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.33503687170827073,0.0018303105607628822
8,0.45,0.057954391836389896,0.07688314467668533,0.32200008630752563,0.46908804774284363,0.073084756731987,0.35,2,0,0,0,1.0336153507232666,2.6064722537994385,20.799867630004883,1.0336153507232666,1.0,0.33151477352373054,0,0,0,0.0,passthrough,4.454043296933492e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.33151477352373054,0.0017794007435441017
9,0.5,0.0754416943518845,0.07840032130479813,0.3031744956970215,0.465102881193161,0.07442861050367355,0.35,2,0,0,0,1.0136628150939941,3.4482829570770264,18.25860595703125,1.0136628150939941,1.0,0.3277958752114927,0,0,0,0.0,passthrough,4.512674400537989e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3277958752114927,0.002038494683802128
10,0.55,0.09424013052008881,0.08016408979892731,0.28441479802131653,0.46102389693260193,0.0760132372379303,0.35,2,0,0,0,1.0291942358016968,3.8558826446533203,12.196325302124023,1.0291942358016968,1.0,0.32391586837944114,0,0,0,0.0,passthrough,4.62585789748447e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.32391586837944114,0.00248649250715971
11,0.6000000000000001,0.1171836496647034,0.08199650794267654,0.26542899012565613,0.45693162083625793,0.0776606872677803,0.35,2,0,0,0,1.0857422351837158,4.073434352874756,14.872105598449707,1.0857408046722412,1.0,0.3199355322642195,0,0,0,0.0,filtered,1.9398570673482e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3199355322642195,0.00183122418820858
12,0.65,0.14268322798123534,0.08389891684055328,0.24605458974838257,0.45292040705680847,0.07937232404947281,0.35,2,0,0,0,1.1521282196044922,3.273132562637329,22.432605743408203,1.152126669883728,1.0,0.31593341204178543,0,0,0,0.0,filtered,2.0007939567743135e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.31593341204178543,0.002846711315214634
13,0.7000000000000001,0.1610918212161578,0.08587264269590378,0.2266044318675995,0.4490273892879486,0.08114951848983765,0.35,2,0,0,0,1.1994315385818481,2.0958073139190674,25.209964752197266,1.1994298696517944,1.0,0.3120067367969251,0,0,0,0.0,filtered,2.1243734055989924e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3120067367969251,0.002878192812204361
14,0.75,0.17001696799680066,0.08791886270046234,0.2074812948703766,0.44517895579338074,0.0829935297369957,0.35,2,0,0,0,1.1980968713760376,1.3552114963531494,40.88581466674805,1.198095440864563,1.0,0.3082007590882698,0,0,0,0.0,filtered,1.9298487459119888e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3082007590882698,0.0029466552659869194
15,0.8,0.15930548204366415,0.09003857523202896,0.18962480127811432,0.4412292540073395,0.0849054604768753,0.35,2,0,0,0,1.1502151489257812,1.2557741403579712,30.95906639099121,1.1502141952514648,1.0,0.3044492526770606,0,0,0,0.0,filtered,1.6214518720494864e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3044492526770606,0.0027287667617201805
