step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,safety_filter_solve_time_s
0,0.05,-0.12205740034537207,0.10026069730520248,0.23004814982414246,0.5896754860877991,0.09825285524129868,0.35,3,0,0,0,0.4120388627052307,8.240777015686035,164.8155517578125,0.4292885959148407,1.0,0.45790427688337154,0,0,0,0.0,filtered,0.024674026733830644,0,0,12,joint_3_acceleration_lower,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.45790427688337154,0.0034127570688724518
1,0.1,-0.14316667643827435,0.10199090838432312,0.22655585408210754,0.5795316100120544,0.09980369359254837,0.35,3,0,0,0,0.5380147099494934,3.717500925064087,138.09634399414062,0.5380145907402039,1.0,0.44767955889693056,0,0,0,0.0,filtered,3.355238738272522e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.44767955889693056,0.0028926292434334755
2,0.15000000000000002,-0.21687222112646923,0.12276306003332138,0.2259896844625473,0.5680200457572937,0.12034972757101059,0.35,3,0,0,0,0.585340142250061,4.644931793212891,112.6225814819336,0.5853400826454163,1.0,0.43751487515918563,0,0,0,0.0,filtered,1.3175185553813258e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.43751487515918563,0.0018989322707057
3,0.2,-0.18161367513981985,0.11233176290988922,0.2241370677947998,0.5575771331787109,0.10969439893960953,0.35,3,0,0,0,0.5017933249473572,4.641294956207275,135.65350341796875,0.5017933249473572,1.0,0.42595397223722065,0,0,0,0.0,passthrough,8.232040210733347e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.42595397223722065,0.0024685803800821304
4,0.25,-0.14752873111765158,0.12205731868743896,0.22013945877552032,0.5466738343238831,0.11916366964578629,0.35,3,0,0,0,0.5382328033447266,2.248581886291504,112.4822006225586,0.5382328033447266,1.0,0.4154758280205394,0,0,0,0.0,passthrough,7.911887723040669e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.4154758280205394,0.0029977522790431976
5,0.30000000000000004,-0.14804030842322322,0.11089980602264404,0.21694611012935638,0.5368344783782959,0.10775604844093323,0.35,3,0,0,0,0.546989381313324,2.2125744819641113,55.1183967590332,0.546989381313324,1.0,0.4045345388529288,0,0,0,0.0,filtered,1.2351841800308546e-08,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.4045345388529288,0.0020875688642263412
6,0.35000000000000003,-0.21639962246152955,0.11868326365947723,0.21708515286445618,0.526680052280426,0.11525774002075195,0.35,3,0,0,0,0.5835152864456177,3.1010680198669434,82.07412719726562,0.5835152864456177,1.0,0.3946768407201401,0,0,0,0.0,passthrough,9.954296623056004e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3946768407201401,0.0026618624106049538
7,0.4,-0.15562539592582228,0.11020001024007797,0.21441300213336945,0.5174055099487305,0.10649669170379639,0.35,3,0,0,0,0.5002940893173218,3.972691535949707,125.18164825439453,0.5002940893173218,1.0,0.3844978871304622,0,0,0,0.0,passthrough,9.572030047029036e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3844978871304622,0.002609923481941223
8,0.45,-0.11201717407967011,0.1061655580997467,0.20981450378894806,0.5086579918861389,0.10218148678541183,0.35,3,0,0,0,0.4882911443710327,2.409012794494629,69.72529602050781,0.4882911443710327,1.0,0.37520949472497594,0,0,0,0.0,passthrough,8.920243867692436e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.37520949472497594,0.0025559328496456146
9,0.5,-0.14288789845333902,0.09231162816286087,0.207739919424057,0.5016356110572815,0.08878342807292938,0.35,3,0,0,0,0.5324335694313049,4.008791446685791,100.48650360107422,0.5324335694313049,1.0,0.3664582681984088,0,0,0,0.0,passthrough,9.077362059228311e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3664582681984088,0.0028734710067510605
