step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.2844264817247552,0.16046547889709473,0.2893654406070709,0.5119495987892151,0.15409573912620544,0.35,4,0,0,0,0.3684416711330414,7.368833541870117,147.3766632080078,0.39573055505752563,1.0,0.33998702341413856,0,0,0,0,0.33998702341413856,0.0,filtered,0.03475137073589764,0,0,12,joint_4_acceleration_upper,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.33998702341413856,0.63218636|0.64718636|0.492411558|0.363231311|0.339987023|0.342987023,0.78218636|0.79718636|0.642411558|0.513231311|0.489987023|0.492987023,0.75218636|0.76718636|0.612411558|0.483231311|0.459987023|0.462987023,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0593507345|0.00368779206|-0.0219239603|-0.0219239603,-0.129183686|0|-0.167019634|-0.226754156|-0.230469621|-0.230469621,2.39956175|2.58874544|1.86197733|1.22985888|1.10755451|1.11955451,0.698257685|-0.534797311|0.440218002,-0.0213378686|0.228985786|0.0271713603,0.003008372150361538,0.0008066026493906975,0.000828225165605545,0.0013188626617193222
1,0.1,-0.2519175134256404,0.19878143072128296,0.2832200229167938,0.496919721364975,0.19156640768051147,0.35,4,0,0,0,0.6146470308303833,5.767528533935547,98.00365447998047,0.6146460771560669,1.0,0.3273734126623272,0,0,0,0,0.33998702341413856,0.0,filtered,1.3156379601467192e-06,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.3273734126623272,0.625777247|0.640777239|0.486945882|0.352056241|0.327373413|0.330373413,0.775777247|0.790777239|0.636945882|0.502056241|0.477373413|0.480373413,0.745777247|0.760777239|0.606945882|0.472056241|0.447373413|0.450373413,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.103000047|-0.0247159151|-0.0737322138|-0.0737322138,-0.127170805|0|-0.164742417|-0.226237712|-0.230444734|-0.230444734,2.37593818|2.56310896|1.88604116|1.15727134|1.0053167|1.0173167,0.697190523|-0.523348212|0.44157663,-0.0213378686|0.228985786|0.0271713603,0.0030630528926849365,0.0008646836504340172,0.0008522439748048782,0.0012693163007497787
2,0.15000000000000002,-0.2167289564820851,0.2539047300815582,0.2727421522140503,0.4781840145587921,0.2454860508441925,0.35,4,0,0,0,0.815523624420166,5.147169589996338,73.87395477294922,0.8155229687690735,1.0,0.31236292112171904,0,0,0,0,0.33998702341413856,0.0,filtered,1.1079055177411259e-06,0,0,12,,predictive_link_4,0,0,1,solved,osqp,0.0,valid,0.31236292112171904,0.619469826|0.634469826|0.48400197|0.339734323|0.312362921|0.315362921,0.769469826|0.784469826|0.63400197|0.489734323|0.462362921|0.465362921,0.739469826|0.754469826|0.60400197|0.459734323|0.432362921|0.435362921,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.134557157|-0.0800909827|-0.151158337|-0.151158337,-0.125115791|0|-0.161866996|-0.225301443|-0.230306648|-0.230306648,2.35276351|2.53787931|1.90869804|1.05354487|0.8679867|0.8799867,0.696123362|-0.511899114|0.442935258,-0.0213378686|0.228985786|0.0271713603,0.00478533748537302,0.0014532124623656273,0.001370367594063282,0.0018708053976297379
3,0.2,-0.17831324129510343,0.2896924614906311,0.2589634358882904,0.45736929774284363,0.2797144651412964,0.35,4,0,0,0,0.9515383839607239,5.013533115386963,60.40069580078125,0.9515377283096313,1.0,0.293682449490962,0,0,0,0,0.33998702341413856,0.0,filtered,1.027135404922773e-06,0,0,12,,predictive_link_4,0,0,1,solved,osqp,0.0,valid,0.293682449490962,0.613266218|0.628266214|0.482924971|0.3249041|0.293682449|0.296682449,0.763266218|0.778266214|0.632924971|0.4749041|0.443682449|0.446682449,0.733266218|0.748266214|0.602924971|0.4449041|0.413682449|0.416682449,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.164213039|-0.110210292|-0.195488152|-0.195488152,-0.123018171|0|-0.158497339|-0.223890402|-0.229912717|-0.229912717,2.3300467|2.51306486|1.93741558|0.965515704|0.749328929|0.761328929,0.6950562|-0.500450015|0.444293886,-0.0213378686|0.228985786|0.0271713603,0.004658675752580166,0.001399453729391098,0.0013242056593298912,0.0018192101269960403
4,0.25,-0.16021929024747408,0.3114681541919708,0.24388356506824493,0.43585994839668274,0.29959800839424133,0.35,4,0,0,0,1.099564790725708,3.507740020751953,85.06246185302734,1.0995639562606812,1.0,0.2729733625012598,0,0,0,0,0.33998702341413856,0.0,filtered,1.2250694022471264e-06,0,0,12,,predictive_link_4,0,0,1,solved,osqp,0.0,valid,0.2729733625012598,0.607168382|0.622168382|0.483582189|0.308795765|0.272973363|0.275973363,0.757168382|0.772168382|0.633582189|0.458795765|0.422973363|0.425973363,0.727168382|0.742168382|0.603582189|0.428795765|0.392973363|0.395973363,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.190593154|-0.118846887|-0.211864782|-0.211864782,-0.120877434|0|-0.154810891|-0.221976088|-0.229160095|-0.229160095,2.30779609|2.48867353|1.97011102|0.894360083|0.650868573|0.662868573,0.693989038|-0.489000559|0.445652515,-0.0213378686|0.228985786|0.0271713603,0.004725811071693897,0.0013513434678316116,0.001451512798666954,0.001840345561504364
5,0.30000000000000004,-0.15319304017506158,0.32449257373809814,0.22852160036563873,0.41460928320884705,0.3104376196861267,0.35,4,0,0,0,1.2114726305007935,2.7777462005615234,24.472583770751953,1.211471438407898,1.0,0.2516311768535239,0,0,0,0,0.33998702341413856,0.0,filtered,1.7264759254990307e-06,0,0,12,,predictive_link_4,0,0,1,solved,osqp,0.0,valid,0.2516311768535239,0.601178668|0.616178659|0.485782826|0.292468458|0.251631177|0.254631177,0.751178668|0.766178659|0.635782826|0.442468458|0.401631177|0.404631177,0.721178668|0.736178659|0.605782826|0.412468458|0.371631177|0.374631177,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.213500719|-0.11280383|-0.209085872|-0.209085872,-0.11869324|0|-0.150969904|-0.219540751|-0.227965109|-0.227965109,2.28602143|2.46471464|2.00566212|0.837529249|0.569473726|0.581473726,0.692921877|-0.477551103|0.447011143,-0.0213378686|0.228985786|0.0271713603,0.004573889076709747,0.001294097863137722,0.0013642096891999245,0.0018360838294029236
6,0.35000000000000003,-0.1532508940219765,0.3312709629535675,0.21353869140148163,0.39430490136146545,0.31481051445007324,0.35,4,0,0,0,1.29416823387146,2.1788690090179443,14.81433391571045,1.2941670417785645,1.0,0.23062208092679293,0,0,0,0,0.33998702341413856,0.0,filtered,1.7490243057580052e-06,0,0,12,,predictive_link_4,0,0,1,solved,osqp,0.0,valid,0.23062208092679293,0.595299259|0.610299258|0.489325475|0.276655429|0.230622081|0.233622081,0.745299259|0.760299258|0.639325475|0.426655429|0.380622081|0.383622081,0.715299259|0.730299258|0.609325475|0.396655429|0.350622081|0.353622081,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.232812023|-0.0969093939|-0.19247469|-0.19247469,-0.116465221|0|-0.147097997|-0.216554651|-0.226233627|-0.226233627,2.26473181|2.44119703|2.04301592|0.793157671|0.503780006|0.515780006,0.691854715|-0.466101646|0.448369771,-0.0213378686|0.228985786|0.0271713603,0.004408897832036018,0.0012677237391471863,0.0011555058881640434,0.0019065402448177338
7,0.4,-0.15820025210820063,0.3332376778125763,0.199379563331604,0.3754234313964844,0.3142574429512024,0.35,4,0,0,0,1.3562544584274292,1.7957143783569336,14.477948188781738,1.3562544584274292,1.0,0.21064834068493188,0,0,0,0,0.33998702341413856,0.0,passthrough,5.3096029552249574e-12,0,0,12,,predictive_link_4,0,0,1,solved,osqp,0.0,valid,0.21064834068493188,0.589532354|0.604532354|0.494005301|0.261850676|0.210648341|0.213648341,0.739532354|0.754532354|0.644005301|0.411850676|0.360648341|0.363648341,0.709532354|0.724532354|0.614005301|0.381850676|0.330648341|0.333648341,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.248572496|-0.0751111851|-0.166337602|-0.166337602,-0.114193054|0|-0.143289662|-0.212994565|-0.22385726|-0.22385726,2.24393636|2.41812942|2.08130404|0.759296954|0.4523985|0.4643985,0.690787554|-0.45465219|0.4497284,-0.0213378686|0.228985786|0.0271713603,0.0046547781676054,0.0013799136504530907,0.0012721307575702667,0.0019145095720887184
8,0.45,-0.1639106444851129,0.3304959535598755,0.1862555295228958,0.35831817984580994,0.3090256452560425,0.35,4,0,0,0,1.4011955261230469,1.6280508041381836,20.907777786254883,1.4011955261230469,1.0,0.1922019578957661,0,0,0,0,0.33998702341413856,0.0,passthrough,5.687223656695748e-12,0,0,12,,predictive_link_4,0,0,1,solved,osqp,0.0,valid,0.1922019578957661,0.583880168|0.598880156|0.499612728|0.248354142|0.192201958|0.195201958,0.733880168|0.748880156|0.649612728|0.398354142|0.342201958|0.345201958,0.703880168|0.718880156|0.619612728|0.368354142|0.312201958|0.315201958,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.259153713|-0.0499774563|-0.133323464|-0.133323464,-0.111876459|0|-0.139494876|-0.208849676|-0.220722528|-0.220722528,2.22364421|2.39552063|2.11810975|0.734589435|0.414761839|0.426761839,0.689720392|-0.443202734|0.451087028,-0.0213378686|0.228985786|0.0271713603,0.0056359730660915375,0.0013779941946268082,0.0014621783047914505,0.0026915324851870537
9,0.5,-0.16984463625650306,0.3220825493335724,0.1744135022163391,0.3432760536670685,0.2983294129371643,0.35,4,0,0,0,1.4271215200424194,0.885657548904419,16.261381149291992,1.4271215200424194,1.0,0.17565186752020023,0,0,0,0,0.33998702341413856,0.0,passthrough,5.8014770355078546e-12,0,0,12,,predictive_link_4,0,0,1,solved,osqp,0.0,valid,0.17565186752020023,0.578344929|0.593344899|0.505557283|0.236341574|0.175651868|0.178651868,0.728344929|0.743344899|0.655557283|0.386341574|0.325651868|0.328651868,0.698344929|0.713344899|0.625557283|0.356341574|0.295651868|0.298651868,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.255185718|-0.0220164397|-0.0948468844|-0.0948468844,-0.109515208|0|-0.135353204|-0.204122621|-0.216714994|-0.216714994,2.20386451|2.3733796|2.14206164|0.719227236|0.391045591|0.403045591,0.688653231|-0.431753278|0.452445656,-0.0213378686|0.228985786|0.0271713603,0.004666109569370747,0.0013523288071155548,0.0013702819123864174,0.0018559377640485764
