step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.19395736761158228,0.1101863831281662,0.3609448969364166,0.6008453369140625,0.10609248280525208,0.35,3,0,0,0,0.4064256250858307,8.128512382507324,162.5702362060547,0.46609261631965637,1.0,nan,0,0,0,0,0.4129506960307866,0.0,filtered,0.061375731752146986,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.4129506960307866,0.590575761|0.605575761|0.467095391|0.412950696|0.423427407|0.429098977,0.740575761|0.755575761|0.617095391|0.562950696|0.573427407|0.579098977,0.710575761|0.725575761|0.587095391|0.532950696|0.543427407|0.549098977,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0829476782|0.109086885|0.107555053|0.0942796112,-0.206149692|0|-0.275351311|-0.325684586|-0.328431294|-0.322043643,2.15615335|2.42230304|1.67597793|1.43520508|1.47283339|1.48863188,0.714205384|-0.531702995|0.310019195,-0.0541180484|0.327743411|0.0600380823,0.003978678025305271,0.0013471012935042381,0.0009996900334954262,0.001607653684914112
1,0.1,-0.011557682614038708,0.0858253538608551,0.3435073792934418,0.592637300491333,0.0814882144331932,0.35,3,0,0,0,0.6748981475830078,6.010829448699951,94.25617218017578,0.674898087978363,1.0,nan,0,0,0,0,0.4129506960307866,0.0,filtered,5.4058033098857567e-08,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.4019691743951753,0.580370362|0.595370362|0.457273371|0.401969174|0.412281661|0.417665244,0.730370362|0.745370362|0.607273371|0.551969174|0.562281661|0.567665244,0.700370362|0.715370362|0.577273371|0.521969174|0.532281661|0.537665244,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.128046385|0.160338561|0.151836387|0.130127081,-0.202044426|0|-0.272277597|-0.325407673|-0.328646599|-0.322764279,2.11943702|2.38148145|1.68486227|1.44280759|1.47231643|1.47802378,0.711499572|-0.515315771|0.313021123,-0.0541180484|0.327743411|0.0600380823,0.003783159889280796,0.0012159915640950203,0.0008217822760343552,0.0017186272889375687
2,0.15000000000000002,0.08573758276705917,0.07747969776391983,0.32266128063201904,0.5863752365112305,0.07667413353919983,0.35,3,0,0,0,0.7728322148323059,6.157833099365234,164.0504608154297,0.7728316783905029,1.0,nan,0,0,0,0,0.4129506960307866,0.0,filtered,9.113535864111531e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.39379726810140625,0.570373829|0.585373829|0.450047778|0.393797268|0.403504599|0.408178813,0.720373829|0.735373829|0.600047778|0.543797268|0.553504599|0.558178813,0.690373829|0.705373829|0.570047778|0.513797268|0.523504599|0.528178813,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.147071573|0.198099482|0.189370534|0.168775833,-0.197794559|0|-0.268608165|-0.325235661|-0.329175598|-0.324556968,2.08370076|2.34149531|1.67865452|1.44805289|1.47421333|1.47693412,0.708793759|-0.498928547|0.316023052,-0.0541180484|0.327743411|0.0600380823,0.0029027843847870827,0.0008391598239541054,0.0008115218952298164,0.0012318706139922142
3,0.2,0.13220236525711634,0.0766088142991066,0.30083200335502625,0.5811164379119873,0.07575313001871109,0.35,3,0,0,0,0.893100917339325,5.58213472366333,30.91803550720215,0.8931000828742981,1.0,nan,0,0,0,0,0.4129506960307866,0.0,filtered,1.1728844508398318e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.38761046949957956,0.56059348|0.57559348|0.444034859|0.387610469|0.396622144|0.400593968,0.71059348|0.72559348|0.594034859|0.537610469|0.546622144|0.550593968,0.68059348|0.69559348|0.564034859|0.507610469|0.516622144|0.520593968,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.146476537|0.218824367|0.213772796|0.198451425,-0.193396479|0|-0.264618618|-0.324820052|-0.329934431|-0.326735597,2.04897744|2.30237392|1.65799736|1.44444619|1.47032694|1.4740917,0.706087947|-0.482541323|0.31902498,-0.0541180484|0.327743411|0.0600380823,0.0032178349792957306,0.001020076684653759,0.0008523818105459213,0.0013257013633847237
4,0.25,0.1508665500961478,0.07571341842412949,0.27947863936424255,0.5765146613121033,0.07480732351541519,0.35,3,0,0,0,0.995769202709198,3.954698085784912,46.567440032958984,0.9957680702209473,1.0,nan,0,0,0,0,0.4129506960307866,0.0,filtered,1.428697169961592e-06,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.3824933035142909,0.551036814|0.566036813|0.438187212|0.382493304|0.390947335|0.394406849,0.701036814|0.716036813|0.588187212|0.532493304|0.540947335|0.544406849,0.671036814|0.686036813|0.558187212|0.502493304|0.510947335|0.514406849,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.130689739|0.233787674|0.242360531|0.233615792,-0.188846745|0|-0.260505235|-0.323960432|-0.330807924|-0.328853663,2.01530051|2.26414725|1.62293335|1.43980046|1.47534195|1.48238952,0.703382134|-0.466154099|0.322026908,-0.0541180484|0.327743411|0.0600380823,0.0030624307692050934,0.0008673388510942459,0.0008858293294906616,0.0012876801192760468
5,0.30000000000000004,0.17852506018502928,0.07479226589202881,0.25798454880714417,0.572543203830719,0.07383591681718826,0.35,3,0,0,0,1.0637435913085938,2.154644012451172,38.83633041381836,1.0637431144714355,1.0,nan,0,0,0,0,0.4129506960307866,0.0,filtered,6.741862945621241e-07,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.3781269803282442,0.541711496|0.556711496|0.43175201|0.37812698|0.386663127|0.389844479,0.691711496|0.706711496|0.58175201|0.52812698|0.536663127|0.539844479,0.661711496|0.676711496|0.55175201|0.49812698|0.506663127|0.509844479,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.125102613|0.247375853|0.265936861|0.260943896,-0.184142122|0|-0.256535414|-0.322460872|-0.33171348|-0.330641802,1.98270386|2.22684598|1.59557524|1.4374229|1.48087589|1.48968001,0.700676322|-0.449766874|0.325028837,-0.0541180484|0.327743411|0.0600380823,0.0029868939891457558,0.0008313916623592377,0.000824442133307457,0.0013104919344186783
6,0.35000000000000003,0.20426314186740324,0.07384397089481354,0.2363079935312271,0.568848192691803,0.07283803820610046,0.35,3,0,0,0,1.1112778186798096,1.9696359634399414,23.900970458984375,1.1112773418426514,1.0,nan,0,0,0,0,0.4129506960307866,0.0,filtered,8.904560998183815e-07,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.37448571962465926,0.532625345|0.547625345|0.425236602|0.37448572|0.383511596|0.386549287,0.682625345|0.697625345|0.575236602|0.52448572|0.533511596|0.536549287,0.652625345|0.667625345|0.545236602|0.49448572|0.503511596|0.506549287,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.124585562|0.252602134|0.275181273|0.272901546,-0.179279626|0|-0.252512659|-0.320315812|-0.332607357|-0.332194389,1.95122175|2.19050138|1.57301931|1.4302292|1.4766203|1.48690431,0.69797051|-0.43337965|0.328030765,-0.0541180484|0.327743411|0.0600380823,0.0029505183920264244,0.0008470294997096062,0.0008311998099088669,0.0012517338618636131
7,0.4,0.2296924331434229,0.07286696135997772,0.21438097953796387,0.5655051469802856,0.0718127116560936,0.35,3,0,0,0,1.1402028799057007,1.443774938583374,17.850725173950195,1.1402021646499634,1.0,nan,0,0,0,0,0.4129506960307866,0.0,filtered,1.10095444115427e-06,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.3712058516247262,0.523786324|0.538786318|0.418900966|0.371205852|0.380777578|0.383777578,0.673786324|0.688786318|0.568900966|0.521205852|0.530777578|0.533777578,0.643786324|0.658786318|0.538900966|0.491205852|0.500777578|0.503777578,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.126977656|0.258893826|0.28553979|0.28553979,-0.174256567|0|-0.248248792|-0.317589539|-0.333539462|-0.333539462,1.92088873|2.15514527|1.55433273|1.42612769|1.47511064|1.48711064,0.695264697|-0.416992426|0.331032693,-0.0541180484|0.327743411|0.0600380823,0.003199254162609577,0.0010195877403020859,0.0008213203400373459,0.0013368716463446617
8,0.45,0.24698121246046234,0.07185955345630646,0.19254019856452942,0.5624474287033081,0.0707588717341423,0.35,3,0,0,0,1.1497209072113037,1.224073052406311,14.137528419494629,1.1497204303741455,1.0,nan,0,0,0,0,0.4129506960307866,0.0,filtered,9.494361682915117e-07,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.3683723138409486,0.515202521|0.530202506|0.412902556|0.368372314|0.378576067|0.381576067,0.665202521|0.680202506|0.562902556|0.518372314|0.528576067|0.531576067,0.635202521|0.650202506|0.532902556|0.488372314|0.498576067|0.501576067,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.127683469|0.263447611|0.298519346|0.298519346,-0.169070599|0|-0.243676617|-0.314215866|-0.334631145|-0.334631145,1.89173949|2.12081002|1.53561708|1.422721|1.47819247|1.49019247,0.692558885|-0.400605202|0.334034622,-0.0541180484|0.327743411|0.0600380823,0.003118901513516903,0.0008820155635476112,0.0008294703438878059,0.0013848617672920227
9,0.5,0.2457466170354986,0.07081986963748932,0.17167161405086517,0.5592311024665833,0.06967533379793167,0.35,3,0,0,0,1.146325707435608,1.1213761568069458,12.005502700805664,1.1463252305984497,1.0,nan,0,0,0,0,0.4129506960307866,0.0,filtered,1.0276153491210124e-06,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.3659258219908573,0.506882133|0.521882133|0.407172995|0.365925822|0.376968597|0.379968597,0.656882133|0.671882133|0.557172995|0.515925822|0.526968597|0.529968597,0.626882133|0.641882133|0.527172995|0.485925822|0.496968597|0.499968597,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.120513758|0.25825584|0.304396059|0.304396059,-0.163719769|0|-0.238811158|-0.310140943|-0.335393124|-0.335393124,1.86380876|2.08752853|1.51039458|1.41181819|1.47687732|1.48887732,0.689853072|-0.384217978|0.33703655,-0.0541180484|0.327743411|0.0600380823,0.0030382415279746056,0.0008723801001906395,0.0008431486785411835,0.001303166151046753
