step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.5546250108967868,0.14430546760559082,0.534721314907074,0.49186840653419495,0.1359851360321045,0.35,2,0,0,0,0.45117393136024475,9.023478507995605,180.4695587158203,0.4927244186401367,1.0,0.3146689396179114,0,0,0,0,0.3146689396179114,0.0,filtered,0.05580881738593518,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3146689396179114,0.477546051|0.492546051|0.31466894|0.32166894|0.50019076|0.544513739,0.627546051|0.642546051|0.46466894|0.47166894|0.65019076|0.694513739,0.597546051|0.612546051|0.43466894|0.44166894|0.62019076|0.664513739,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0420574845|0.0420574845|0.0395242339|0.0354120248,-0.176013645|0|-0.251287608|-0.251287608|-0.269041899|-0.260847793,1.73417056|1.9701842|1.04944564|1.07744564|1.77124537|1.95261919,0.334626734|-0.57487607|0.532865524,0.0349684916|0.273589045|-0.00408786954,0.005409792996942997,0.0018105357885360718,0.0015118448063731194,0.0019723111763596535
1,0.1,-0.35846310966064293,0.1225462555885315,0.5178402066230774,0.4828917682170868,0.11367105692625046,0.35,2,0,0,0,0.7032852172851562,5.882043838500977,116.96009826660156,0.7032849192619324,1.0,0.30418013038312985,0,0,0,0,0.3146689396179114,0.0,filtered,5.703983110416094e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.30418013038312985,0.468819231|0.483819231|0.30418013|0.31118013|0.488851204|0.533416254,0.618819231|0.633819231|0.45418013|0.46118013|0.638851204|0.683416254,0.588819231|0.603819231|0.42418013|0.43118013|0.608851204|0.653416254,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0768808755|0.0768808755|0.0833363773|0.0769055613,-0.173043787|0|-0.249568165|-0.249568165|-0.269623924|-0.261585949,1.70223314|1.93527692|1.04403323|1.07203323|1.76911727|1.94898463,0.336375177|-0.561196804|0.532660961,0.0349684916|0.273589045|-0.00408786954,0.004874248988926411,0.001492801122367382,0.001690201461315155,0.0015834271907806396
2,0.15000000000000002,-0.22603453703590398,0.111360102891922,0.4966665804386139,0.4748932421207428,0.1019931510090828,0.35,2,0,0,0,0.8599410653114319,4.944007396697998,66.5677719116211,0.8599408268928528,1.0,0.29553375205925836,0,0,0,0,0.3146689396179114,0.0,filtered,5.075917417648943e-07,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.29553375205925836,0.460243455|0.475243455|0.295533752|0.302533752|0.479543927|0.524205175,0.610243455|0.625243455|0.445533752|0.452533752|0.629543927|0.674205175,0.580243455|0.595243455|0.415533752|0.422533752|0.599543927|0.644205175,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0954100336|0.0954100336|0.109562383|0.102568461,-0.169971282|0|-0.247195067|-0.247195067|-0.270817948|-0.263310814,1.67100254|1.90097382|1.03034997|1.05834997|1.75692014|1.93607835,0.33812362|-0.547517538|0.532456398,0.0349684916|0.273589045|-0.00408786954,0.005037697032094002,0.0017933864146471024,0.001349104568362236,0.0017888937145471573
3,0.2,-0.13514606964086576,0.10794983059167862,0.473237007856369,0.4673239290714264,0.098127081990242,0.35,2,0,0,0,0.9858006834983826,3.1968958377838135,50.56919479370117,0.9858004450798035,1.0,0.28794188828552036,0,0,0,0,0.3146689396179114,0.0,filtered,6.660573772809652e-07,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.28794188828552036,0.451823928|0.466823928|0.287941888|0.294941888|0.471454572|0.516151862,0.601823928|0.616823928|0.437941888|0.444941888|0.621454572|0.666151862,0.571823928|0.586823928|0.407941888|0.414941888|0.591454572|0.636151862,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.102763588|0.102763588|0.112849105|0.105200171,-0.166793296|0|-0.244278778|-0.244278778|-0.272233627|-0.265519275,1.64050242|1.86729571|1.01025236|1.03825236|1.72643377|1.90428834,0.339872062|-0.533838272|0.532251835,0.0349684916|0.273589045|-0.00408786954,0.004934650845825672,0.0014415541663765907,0.0017165038734674454,0.0016663651913404465
4,0.25,-0.08285599814181246,0.10908783227205276,0.4493355453014374,0.45989564061164856,0.09882364422082901,0.35,2,0,0,0,1.044918417930603,1.3770523071289062,40.20881271362305,1.044918179512024,1.0,0.28086468551934984,0,0,0,0,0.3146689396179114,0.0,filtered,4.5879515505822786e-07,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.28086468551934984,0.443565991|0.458565991|0.280864686|0.287864686|0.46345544|0.508115008,0.593565991|0.608565991|0.430864686|0.437864686|0.61345544|0.658115008,0.563565991|0.578565991|0.400864686|0.407864686|0.58345544|0.628115008,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.103313063|0.103313063|0.115445562|0.108560697,-0.163507055|0|-0.24075406|-0.24075406|-0.273619017|-0.267891541,1.61075691|1.83426397|0.986017745|1.01401774|1.6956483|1.87312919,0.341620505|-0.520159006|0.532047272,0.0349684916|0.273589045|-0.00408786954,0.004876146093010902,0.0011600647121667862,0.001695801503956318,0.0019239718094468117
5,0.30000000000000004,-0.07819471284387085,0.11454475671052933,0.427044540643692,0.4523814618587494,0.10381998866796494,0.35,2,0,0,0,1.0347557067871094,1.2408086061477661,38.22507095336914,1.0347555875778198,1.0,0.2739968292911724,0,0,0,0,0.3146689396179114,0.0,filtered,1.3457724516005822e-07,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.2739968292911724,0.435475127|0.450475127|0.273996829|0.280996829|0.455522706|0.500132678,0.585475127|0.600475127|0.423996829|0.430996829|0.605522706|0.650132678,0.555475127|0.570475127|0.393996829|0.400996829|0.575522706|0.620132678,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0979136777|0.0979136777|0.130310595|0.127602438,-0.160109869|0|-0.23674123|-0.23674123|-0.27475094|-0.27012989,1.58179064|1.80190051|0.957159765|0.985159765|1.67765048|1.85800326,0.343368948|-0.50647974|0.531842709,0.0349684916|0.273589045|-0.00408786954,0.004817649722099304,0.0011453814804553986,0.0017307009547948837,0.0018397839739918709
6,0.35000000000000003,-0.09584805572099647,0.1226128339767456,0.4071236550807953,0.44465598464012146,0.11138592660427094,0.35,2,0,0,0,0.9985131621360779,1.7658448219299316,15.314358711242676,0.9985131621360779,1.0,0.26705957037655614,0,0,0,0,0.3146689396179114,0.0,passthrough,1.102752572351693e-09,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.26705957037655614,0.427556816|0.442556816|0.26705957|0.27405957|0.44826355|0.492978257,0.577556816|0.592556816|0.41705957|0.42405957|0.59826355|0.642978257,0.547556816|0.562556816|0.38705957|0.39405957|0.56826355|0.612978257,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0892357138|0.0892357138|0.145048266|0.14760511,-0.156599098|0|-0.232607644|-0.232607644|-0.275473884|-0.271963368,1.55362817|1.77022726|0.924866351|0.952866351|1.66262858|1.84755477,0.34511739|-0.492800266|0.531638145,0.0349684916|0.273589045|-0.00408786954,0.0048062000423669815,0.0009977370500564575,0.00163359846919775,0.002072177827358246
7,0.4,-0.12313017538471918,0.1308664083480835,0.38979431986808777,0.43673256039619446,0.11909385770559311,0.35,2,0,0,0,0.9401355981826782,1.767985463142395,20.8310604095459,0.9401355981826782,1.0,0.259899890734947,0,0,0,0,0.3146689396179114,0.0,passthrough,9.88155148864238e-10,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.259899890734947,0.419816841|0.434816841|0.259899891|0.266899891|0.441691928|0.486717769,0.569816841|0.584816841|0.409899891|0.416899891|0.591691928|0.636717769,0.539816841|0.554816841|0.379899891|0.386899891|0.561691928|0.606717769,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0808304422|0.0808304422|0.153966844|0.160845443,-0.152972297|0|-0.228548944|-0.228548944|-0.275797174|-0.273335432,1.52629507|1.73926736|0.891881061|0.919881061|1.64493738|1.83438109,0.346865833|-0.479120642|0.531433582,0.0349684916|0.273589045|-0.00408786954,0.004610970616340637,0.000988720916211605,0.0009625572711229324,0.002595956437289715
8,0.45,-0.16881382086004187,0.140349879860878,0.3756687343120575,0.4285740554332733,0.1279737651348114,0.35,2,0,0,0,0.8694412112236023,2.169066905975342,14.936169624328613,0.8694412112236023,1.0,0.25253299248837335,0,0,0,0,0.3146689396179114,0.0,passthrough,9.287617915492431e-10,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.25253299248837335,0.412261156|0.427261156|0.252532992|0.259532992|0.435542714|0.481039466,0.562261156|0.577261156|0.402532992|0.409532992|0.585542714|0.631039466,0.532261156|0.547261156|0.372532992|0.379532992|0.555542714|0.601039466,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0713593324|0.0713593324|0.160704912|0.172194152,-0.1492272|0|-0.224550167|-0.224550167|-0.275789402|-0.274299451,1.49981742|1.70904462|0.856941136|0.884941136|1.62708637|1.82205256,0.348614275|-0.465441018|0.531229019,0.0349684916|0.273589045|-0.00408786954,0.0035778963938355446,0.0009706169366836548,0.0010506641119718552,0.0014897948130965233
9,0.5,-0.224892596230375,0.14773747324943542,0.36511629819869995,0.4203222095966339,0.13472025096416473,0.35,2,0,0,0,0.7956706881523132,2.188950777053833,28.658464431762695,0.7956706881523132,1.0,0.2449062686309147,0,0,0,0,0.3146689396179114,0.0,passthrough,9.131400686465461e-10,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.2449062686309147,0.404895729|0.419895729|0.244906269|0.251906269|0.429726189|0.475869893,0.554895729|0.569895729|0.394906269|0.401906269|0.579726189|0.625869893,0.524895729|0.539895729|0.364906269|0.371906269|0.549726189|0.595869893,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0654568065|0.0654568065|0.163174475|0.177555111,-0.145361696|0|-0.220721191|-0.220721191|-0.275538066|-0.274900179,1.47422122|1.67958292|0.82436069|0.85236069|1.60654116|1.8061345,0.350362718|-0.451761395|0.531024456,0.0349684916|0.273589045|-0.00408786954,0.003730887547135353,0.0010014623403549194,0.0009964080527424812,0.0016657914966344833
