step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,safety_filter_solve_time_s
0,0.05,-1.0543606196457813,0.2985173761844635,0.6429154872894287,0.24913309514522552,0.2705436646938324,0.35,3,0,0,0,0.3912721276283264,7.825442790985107,156.50885009765625,0.45784792304039,filtered,0.07377406186264895,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.11561910235296297,0.004740620963275433
1,0.1,-0.9716725539915049,0.28479287028312683,0.6359325051307678,0.24519051611423492,0.2554984986782074,0.35,3,0,0,0,0.6593815684318542,6.126222610473633,97.20638275146484,0.6593811511993408,filtered,6.283692478941264e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.11089851989139854,0.004714976996183395
2,0.15000000000000002,-0.8662671854205576,0.22569027543067932,0.6275569200515747,0.24436981976032257,0.19585540890693665,0.35,3,0,0,0,0.7297645211219788,6.068002223968506,147.99034118652344,0.7259389162063599,filtered,0.031157742468952726,0,0,12,joint_5_acceleration_lower,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.10673008072767592,0.004279979504644871
3,0.2,-0.7853271474997408,0.2186373621225357,0.6166786551475525,0.24659810960292816,0.1890350878238678,0.35,3,0,0,0,0.8101781606674194,4.37427282333374,112.44979095458984,0.8101776838302612,filtered,7.703068420353845e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.1057126332415127,0.004734642803668976
4,0.25,-0.7136128551415462,0.20887674391269684,0.6040924191474915,0.2526029050350189,0.18053753674030304,0.35,3,0,0,0,0.8804740905761719,3.785574436187744,78.38290405273438,0.8804740905761719,passthrough,4.634650625536142e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.10775444920836325,0.002863621339201927
5,0.30000000000000004,-0.6613353053483915,0.19588635861873627,0.5910739302635193,0.26098203659057617,0.169368714094162,0.35,3,0,0,0,0.9324821829795837,3.232591152191162,68.68124389648438,0.9324814677238464,filtered,1.0563080932509367e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.11364671964749212,0.004510394297540188
6,0.35000000000000003,-0.6066747308515485,0.183761864900589,0.5775037407875061,0.26938340067863464,0.15892648696899414,0.35,3,0,0,0,0.9618663191795349,1.2455331087112427,64.73306274414062,0.9618655443191528,filtered,1.0954464391446064e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.12196632485789272,0.00467304140329361
7,0.4,-0.556960618248636,0.17263148725032806,0.5635578632354736,0.2776605188846588,0.14932939410209656,0.35,3,0,0,0,0.9722990989685059,1.2648972272872925,26.29200553894043,0.9722986221313477,filtered,7.72389587767553e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.13028892450226565,0.002771700732409954
8,0.45,-0.5178977016339195,0.16134564578533173,0.5497722625732422,0.2866418957710266,0.13963794708251953,0.35,3,0,0,0,0.9814954996109009,1.3920717239379883,36.375755310058594,0.9814954996109009,passthrough,5.593695097728297e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.13847315930188198,0.004574705846607685
9,0.5,-0.4777609084711776,0.1499791294336319,0.5360476970672607,0.2963881492614746,0.1299102008342743,0.35,3,0,0,0,0.9921388626098633,1.138819932937622,15.289932250976562,0.9921388626098633,passthrough,5.0368709358003755e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.1473840396625894,0.004639094695448875
