step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s
0,0.05,-0.5788956567364892,0.24742761254310608,0.4681941568851471,0.526251494884491,0.24342228472232819,0.35,2,0,0,0,0.38029342889785767,7.605868816375732,152.11737060546875,0.4129636883735657,1.0,0.3742032056197631,0,0,0,0,0.3742032056197631,0.0,filtered,0.04577156927070896,0,0,12,joint_4_acceleration_lower,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3742032056197631,0.564198759|0.579198759|0.374203206|0.378699056|0.474311111|0.506516735,0.684198759|0.699198759|0.494203206|0.498699056|0.594311111|0.626516735,0.684198759|0.699198759|0.494203206|0.498699056|0.594311111|0.626516735,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.00862154096|-0.028850724|-0.136057399|-0.159572525,-0.254779343|0|-0.324197271|-0.333966652|-0.336204742|-0.325512962,2.00201569|2.31679504|1.16399401|1.15197885|1.4249823|1.54098145,0.486911923|-0.556005776|0.544604421,-0.0529943295|0.341459543|-0.0299725756,0.0037497403100132942
1,0.1,-0.5546803003226524,0.2890636622905731,0.45931053161621094,0.5103260278701782,0.28528696298599243,0.35,2,0,0,0,0.6624695658683777,5.991297245025635,69.11843872070312,0.6624689698219299,1.0,0.3576520274266572,0,0,0,0,0.3742032056197631,0.0,filtered,1.0836350287995382e-06,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.3576520274266572,0.551544604|0.566544604|0.357652027|0.360477922|0.450989679|0.482603568,0.671544604|0.686544604|0.477652027|0.480477922|0.570989679|0.602603568,0.671544604|0.686544604|0.477652027|0.480477922|0.570989679|0.602603568,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.00853453113|-0.0310629501|-0.191542977|-0.234852086,-0.251361154|0|-0.322079218|-0.334989385|-0.335826937|-0.324702464,1.95481726|2.26617842|1.11706342|1.07585935|1.2765888|1.37085972,0.484262258|-0.538932621|0.54310596,-0.0529943295|0.341459543|-0.0299725756,0.0035114632919430733
2,0.15000000000000002,-0.563071314244263,0.28508472442626953,0.45188868045806885,0.4954950213432312,0.2803640365600586,0.35,3,0,0,0,0.8520011305809021,5.633073329925537,87.78097534179688,0.8520005345344543,1.0,0.34200539518581113,0,0,0,0,0.3742032056197631,0.0,filtered,1.0481395625841301e-06,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.34200539518581113,0.539065369|0.554065369|0.342147099|0.342005395|0.424911694|0.454917117,0.659065369|0.674065369|0.462147099|0.462005395|0.544911694|0.574917117,0.659065369|0.674065369|0.462147099|0.462005395|0.544911694|0.574917117,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0453781197|-0.00487917476|-0.158983482|-0.215619204,-0.247781437|0|-0.318992346|-0.336320611|-0.335693629|-0.324362675,1.90848004|2.21626148|1.09497417|1.02682179|1.20496966|1.27968659,0.481612593|-0.521859467|0.541607499,-0.0529943295|0.341459543|-0.0299725756,0.0033842334523797035
3,0.2,-0.5917042154935059,0.2504008412361145,0.44837358593940735,0.4809154272079468,0.24468068778514862,0.35,3,0,0,0,0.9727438688278198,4.997330188751221,62.254608154296875,0.9727434515953064,1.0,0.324921519183016,0,0,0,0,0.3742032056197631,0.0,filtered,1.036120452189059e-06,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.324921519183016,0.526769323|0.541769323|0.328752719|0.324921519|0.400575474|0.428254338,0.646769323|0.661769323|0.448752719|0.444921519|0.520575474|0.548254338,0.646769323|0.661769323|0.448752719|0.444921519|0.520575474|0.548254338,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0890518749|0.043414152|-0.0737688684|-0.137853702,-0.244032378|0|-0.315079624|-0.337143421|-0.335759855|-0.324698944,1.86304492|2.16707729|1.08898313|1.00595681|1.19277317|1.2504647,0.478962928|-0.504786313|0.540109038,-0.0529943295|0.341459543|-0.0299725756,0.0035115964710712433
4,0.25,-0.624414822235001,0.2221246361732483,0.4482785165309906,0.46824610233306885,0.21536573767662048,0.35,3,0,0,0,1.0162591934204102,4.57621955871582,79.65812683105469,1.0162588357925415,1.0,0.3103620966724527,0,0,0,0,0.3742032056197631,0.0,filtered,6.755402845490727e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.3103620966724527,0.514665135|0.529665135|0.317740047|0.310362097|0.380545231|0.40547962,0.634665135|0.649665135|0.437740047|0.430362097|0.500545231|0.52547962,0.634665135|0.649665135|0.437740047|0.430362097|0.500545231|0.52547962,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.118753656|0.0810699449|-0.00884268859|-0.0788009445,-0.240105939|0|-0.310469499|-0.33696122|-0.335802259|-0.325622042,1.8185546|2.11866054|1.07924435|0.985557112|1.17753598|1.2174955,0.476313263|-0.487713158|0.538610578,-0.0529943295|0.341459543|-0.0299725756,0.0038014212623238564
5,0.30000000000000004,-0.6573308448910866,0.19460386037826538,0.45125386118888855,0.4572402834892273,0.18680723011493683,0.35,3,0,0,0,1.0549921989440918,4.3711395263671875,40.819664001464844,1.0573410987854004,1.0,0.29785633458429783,0,0,0,0,0.3742032056197631,0.0,filtered,0.04257565293231021,0,0,12,joint_5_acceleration_lower,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.29785633458429783,0.502761878|0.517761878|0.30847282|0.297856335|0.363909154|0.385749238,0.622761878|0.637761878|0.42847282|0.417856335|0.483909154|0.505749238,0.622761878|0.637761878|0.42847282|0.417856335|0.483909154|0.505749238,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.140196957|0.114430281|0.0493037595|-0.0239106427,-0.235993884|0|-0.305153849|-0.335765337|-0.335410305|-0.326639614,1.77505363|2.07104751|1.06893439|0.970090283|1.16953007|1.1924467,0.473663598|-0.470640004|0.537112117,-0.0529943295|0.341459543|-0.0299725756,0.003793708048760891
6,0.35000000000000003,-0.6834890353422554,0.20293015241622925,0.45489227771759033,0.4465128779411316,0.19395266473293304,0.35,3,0,0,0,1.0873081684112549,3.4834132194519043,56.00068283081055,1.0873078107833862,1.0,0.2871723053891201,0,0,0,0,0.3742032056197631,0.0,filtered,8.69832233457113e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.2871723053891201,0.491069043|0.506069043|0.300534164|0.287172305|0.350283129|0.368805345,0.611069043|0.626069043|0.420534164|0.407172305|0.470283129|0.488805345,0.611069043|0.626069043|0.420534164|0.407172305|0.470283129|0.488805345,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.145011744|0.117783482|0.0534782656|-0.0267076914,-0.231687817|0|-0.299150599|-0.333434511|-0.334244807|-0.327314665,1.73258835|2.02427617|1.0479978|0.933038192|1.12036597|1.12119902,0.471013933|-0.453566849|0.535613656,-0.0529943295|0.341459543|-0.0299725756,0.0035308273509144783
7,0.4,-0.7164358255556909,0.19440822303295135,0.46031904220581055,0.4367157816886902,0.1841631382703781,0.35,3,0,0,0,1.105516791343689,2.3634729385375977,44.904327392578125,1.1055163145065308,1.0,0.27688477896744546,0,0,0,0,0.3742032056197631,0.0,filtered,6.254415572627757e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.27688477896744546,0.479596543|0.494596535|0.29319396|0.276884779|0.337079419|0.351831633,0.599596543|0.614596535|0.41319396|0.396884779|0.457079419|0.471831633,0.599596543|0.614596535|0.41319396|0.396884779|0.457079419|0.471831633,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.15447085|0.134478202|0.0817720763|-0.00292154638,-0.227179224|0|-0.292357607|-0.330213523|-0.331901376|-0.327084652,1.69120695|1.97838614|1.03488908|0.911803794|1.09818838|1.07732034,0.468364269|-0.436493695|0.534115195,-0.0529943295|0.341459543|-0.0299725756,0.003339267335832119
8,0.45,-0.7539124733395927,0.22348755598068237,0.465650349855423,0.42695164680480957,0.21160666644573212,0.35,3,0,0,0,1.112561821937561,2.8299875259399414,41.64253234863281,1.1125614643096924,1.0,0.26769784781058303,0,0,0,0,0.3742032056197631,0.0,filtered,5.097555530556525e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.26769784781058303,0.468354718|0.483354718|0.286694762|0.267697848|0.325523429|0.336001503,0.588354718|0.603354718|0.406694762|0.387697848|0.445523429|0.456001503,0.588354718|0.603354718|0.406694762|0.387697848|0.445523429|0.456001503,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.156046167|0.130479484|0.0706019029|-0.0293327861,-0.222459527|0|-0.284813082|-0.325734825|-0.328260397|-0.328507852,1.65095935|1.93341887|1.01801213|0.87553605|1.04443522|0.986165373,0.465714604|-0.41942054|0.532616735,-0.0529943295|0.341459543|-0.0299725756,0.0033482611179351807
9,0.5,-0.7911859077913937,0.2277584671974182,0.4721737802028656,0.4182412028312683,0.21407032012939453,0.35,3,0,0,0,1.1127190589904785,1.0465989112854004,37.912208557128906,1.1127188205718994,1.0,0.2586926172395225,0,0,0,0,0.3742032056197631,0.0,filtered,3.5391341683138965e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.2586926172395225,0.457354339|0.472354339|0.28073862|0.258692617|0.313084525|0.318728087,0.577354339|0.592354339|0.40073862|0.378692617|0.433084525|0.438728087,0.577354339|0.592354339|0.40073862|0.378692617|0.433084525|0.438728087,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.16500827|0.147610813|0.0686750909|-0.0188949176,-0.217520147|0|-0.276438835|-0.320118096|-0.32396183|-0.330342726,1.61189721|1.88941736|1.01152391|0.862263185|0.997051362|0.925674703,0.463064939|-0.402347386|0.531118274,-0.0529943295|0.341459543|-0.0299725756,0.0036603063344955444
