step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,safety_filter_solve_time_s
0,0.05,-0.7619820924238775,0.1394117772579193,0.6129803657531738,0.3213030695915222,0.10965193808078766,0.35,5,0,0,0,0.4771231710910797,9.542462348937988,190.84925842285156,0.5492991805076599,filtered,0.08246774809479773,0,0,12,joint_1_acceleration_lower,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.16791857544348443,0.0045214127749204636
1,0.1,-0.6140254793561246,0.12841813266277313,0.5997294187545776,0.33045822381973267,0.10149193555116653,0.35,5,0,0,0,0.8207176923751831,6.909153938293457,57.1280403137207,0.8207172155380249,filtered,8.223821064377499e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.16811762034731864,0.004598889499902725
2,0.15000000000000002,-0.5235791786330083,0.11414986103773117,0.584437370300293,0.3458333909511566,0.09840517491102219,0.35,5,0,0,0,0.99407958984375,3.939683198928833,82.6389389038086,0.9940794110298157,filtered,5.863459811618774e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.17795566450708294,0.00264785997569561
3,0.2,-0.4865470940598769,0.1018441841006279,0.5696955323219299,0.36487123370170593,0.09965857118368149,0.35,5,0,0,0,1.1105523109436035,3.082198143005371,51.48650360107422,1.1105519533157349,filtered,8.086545103458259e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.19407979552051574,0.004120892845094204
4,0.25,-0.4868061982585667,0.10334914922714233,0.5565581917762756,0.3852829337120056,0.10097216069698334,0.35,5,0,0,0,1.1882202625274658,2.0374915599823,42.31621551513672,1.1882199048995972,filtered,9.189670986756309e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.2138779528160834,0.0037523796781897545
5,0.30000000000000004,-0.5017743484211417,0.10493075847625732,0.5455235242843628,0.40591728687286377,0.10234826803207397,0.35,5,0,0,0,1.2224973440170288,1.6606435775756836,27.03811264038086,1.222496747970581,filtered,1.0272183334692372e-06,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.2349985156018043,0.0028632013127207756
6,0.35000000000000003,-0.5266442845769623,0.10659182071685791,0.5368198752403259,0.42561477422714233,0.10378905385732651,0.35,5,0,0,0,1.225081443786621,1.915697693824768,18.048242568969727,1.2250807285308838,filtered,1.12746952102053e-06,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.2562844886740211,0.003925897181034088
7,0.4,-0.524443515715682,0.10833509266376495,0.5287789702415466,0.4408664107322693,0.10529667884111404,0.35,5,0,0,0,1.153859257698059,4.037714958190918,53.74141311645508,1.2031606435775757,filtered,0.08571836837681587,0,1,12,workspace_z_upper,workspace_z_upper,0,0,1,solved,osqp,7.855954775592977e-11,valid,0.2765842872906903,0.0043915044516325
8,0.45,-0.5090853136310673,0.1169019490480423,0.5203321576118469,0.4517015218734741,0.11330530792474747,0.35,5,0,0,0,1.130048155784607,5.229610919952393,36.36109161376953,1.1558496952056885,filtered,0.05653519789412908,0,1,12,workspace_z_upper|joint_4_acceleration_upper,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.2923557679866705,0.0027836021035909653
9,0.5,-0.5052611912154692,0.13028904795646667,0.5119224786758423,0.4585651755332947,0.1263366937637329,0.35,5,0,0,0,1.131183385848999,4.708625793457031,26.5823974609375,1.1463050842285156,filtered,0.0394939074240224,0,1,12,workspace_z_upper,workspace_z_upper,0,0,1,solved,osqp,2.897304618443286e-11,valid,0.30368064335986045,0.004042088985443115
10,0.55,-0.5142854252563078,0.13974487781524658,0.5043904185295105,0.4619941711425781,0.13538478314876556,0.35,5,0,0,0,1.1232045888900757,3.603111982345581,37.886260986328125,1.1262191534042358,filtered,0.009982395052981657,0,1,12,workspace_z_upper,workspace_z_upper,0,0,1,solved,osqp,5.204864317320812e-12,valid,0.3110392430523525,0.004540647380053997
11,0.6000000000000001,-0.4843048630281249,0.14997568726539612,0.49563756585121155,0.46369028091430664,0.1451464146375656,0.35,5,0,0,0,1.1572109460830688,2.3818702697753906,40.46620178222656,1.166383981704712,filtered,0.03712589050397843,0,1,12,workspace_z_upper,workspace_z_upper,0,0,1,solved,osqp,1.7520318529307133e-11,valid,0.3149963851355781,0.002716989256441593
12,0.65,-0.43603902441596004,0.1617833971977234,0.48473823070526123,0.4645434617996216,0.15640895068645477,0.35,5,0,0,0,1.209079384803772,2.2390964031219482,20.174530029296875,1.2124792337417603,filtered,0.01839387248560564,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,7.569069087054459e-07,valid,0.3172020374844792,0.00403402466326952
13,0.7000000000000001,-0.39297572696403626,0.1691184937953949,0.47235921025276184,0.46461695432662964,0.163130983710289,0.35,5,0,0,0,1.2141540050506592,2.081235885620117,33.3757438659668,1.2141540050506592,passthrough,6.114805900566093e-12,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.31852886145681486,0.00421342346817255
14,0.75,-0.3450916170463191,0.17347052693367004,0.4584711194038391,0.4634522795677185,0.16680946946144104,0.35,5,0,0,0,1.175007939338684,3.4859585762023926,37.273433685302734,1.175007939338684,passthrough,6.696499436779435e-12,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.3190265738063424,0.003117794170975685
15,0.8,-0.26670164073622354,0.17875632643699646,0.4415155351161957,0.45984572172164917,0.17135308682918549,0.35,5,0,0,0,1.146202564239502,5.721796989440918,46.13022232055664,1.1342586278915405,filtered,0.09646582550468842,0,0,12,joint_5_acceleration_lower|joint_2_acceleration_upper,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.31821379702996216,0.004071901552379131
16,0.8500000000000001,-0.21220619935866608,0.18186324834823608,0.42315930128097534,0.45310378074645996,0.17244383692741394,0.35,3,0,0,0,1.161895990371704,5.125984191894531,29.178686141967773,1.162966012954712,filtered,0.044193762571881005,0,0,12,joint_5_acceleration_lower,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.31349771589000414,0.004520062357187271
17,0.9,-0.14153998404551005,0.20014989376068115,0.40191465616226196,0.4405032992362976,0.18958722054958344,0.35,3,0,0,0,1.2057288885116577,2.688718318939209,63.03388214111328,1.2057288885116577,passthrough,1.1913836992042997e-11,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.3013978483406855,0.003873123787343502
18,0.9500000000000001,-0.08934305817796058,0.2003779113292694,0.37966376543045044,0.4285151958465576,0.19017678499221802,0.35,3,0,0,0,1.2043622732162476,3.4525792598724365,114.76642608642578,1.2043620347976685,filtered,1.494218847724641e-06,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.2885302238626982,0.004180938936769962
19,1.0,-0.025081913260914995,0.22105631232261658,0.354771226644516,0.4157559275627136,0.20774473249912262,0.35,3,0,0,0,1.2364299297332764,1.9132500886917114,82.35954284667969,1.2364299297332764,passthrough,6.6858762308338246e-12,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.27621671721758245,0.003367701545357704
20,1.05,0.0036595291123194262,0.21910274028778076,0.3302741050720215,0.4038662910461426,0.2057833969593048,0.35,3,0,0,0,1.2297776937484741,0.48938676714897156,41.0610466003418,1.2297776937484741,passthrough,7.603789832716695e-12,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.2630721704443186,0.0039035044610500336
21,1.1,0.009008323993143663,0.22437551617622375,0.30684494972229004,0.3926813006401062,0.2105260044336319,0.35,3,0,0,0,1.2053240537643433,0.5771462917327881,12.204241752624512,1.2053231000900269,filtered,1.1766837616104005e-06,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.2507844469710425,0.002736070193350315
22,1.1500000000000001,0.007975212561907419,0.23265278339385986,0.28448113799095154,0.3817758858203888,0.21732473373413086,0.35,3,0,0,0,1.1775192022323608,0.7847257852554321,9.023910522460938,1.1775178909301758,filtered,1.4715346442055494e-06,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.23920993534082124,0.003896968439221382
23,1.2000000000000002,-0.007336097372626693,0.24035051465034485,0.2637972831726074,0.3712065517902374,0.2234305590391159,0.35,3,0,0,0,1.1378780603408813,1.081463098526001,9.69355297088623,1.1378780603408813,passthrough,7.44525495240987e-12,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.22792902725244618,0.004038187675178051
