episode,reward,cost,length,success,collision,collision_capsule_overlap,collision_pybullet_contact,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
10,-60.45305300691442,45.38213878311217,240,0,0,0,0,,,nan,0,0.10091957449913025,12.0,0.18904206156730652,0.1825496336678043,0.39639753103256226,0,0.0,0.7041666666666667,0.041196709466598015,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03904206127015966,0.004026982840150595,0.0057956138625741005,0.0011845909291878342,0.0011354357469826938,0.0016788696482156714,0.09352054857881739,1.0259407758712769,23.62709617614746,0,0,0,0.0,0,0.34216919456549555
11,-85.37375223121406,53.996038956567645,240,0,0,0,0,,,nan,0,0.3011670708656311,12.0,0.1711009442806244,0.2074979882920161,0.5120489597320557,0,0.0,0.6375,0.02644859143962303,0.0,0.0,0.0,0.0,0.9833333333333333,0.0,0.0,0.0,0.012233767615046381,0.004044759141591688,0.007668791338801384,0.0011885332370487353,0.0011435067824398478,0.0016848769504576922,0.16228049072281767,1.5798979997634888,36.12771224975586,0,0,0,0.0,0,0.07552872226822568
12,-19.95243963099386,28.963143184781075,124,1,0,0,0,,,nan,0,0.04736590012907982,6.2,0.19851340353488922,0.20850055286240193,0.4567168056964874,0,0.0,0.7903225806451613,0.04128383323713479,0.0,0.0,0.0,0.0,0.9919354838709677,0.0,0.0,0.0,0.04851338084531123,0.0037636890661932767,0.00524138193577528,0.001094904337679186,0.0010606873134571698,0.0015816717378554805,0.1791054934203144,1.659947395324707,30.656841278076172,0,0,0,0.0,0,0.11892052189527744
13,4.2521899088508235,17.030901193618774,50,1,0,0,0,,,nan,0,0.049235641956329346,2.5,0.17522378265857697,0.3218012034893036,0.49912241101264954,0,0.0,0.66,0.03777104213450682,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.025223821139590347,0.004133198633790016,0.0053575411438941956,0.0012355354242026806,0.001172654964029789,0.0016958154179155826,0.1976182682812214,1.7560874223709106,51.05215835571289,0,0,0,0.0,0,0.13155314366239979
14,2.5011112209777835,15.174856649711728,110,1,0,0,0,,,nan,0,0.052076857537031174,5.5,0.2589779496192932,0.13369256266477433,0.2678663432598114,0,0.0,0.7181818181818181,0.006392809297323893,0.0,0.0,0.0,0.0,0.990909090909091,0.0,0.0,0.0,0.10897795414400954,0.004058760650117289,0.005991904065012932,0.0012283288365737958,0.001162119328298352,0.0016399074091830036,0.13683368074284358,1.2917752265930176,27.118858337402344,0,0,0,0.0,0,0.3477589656862665
15,-13.081660557500925,28.44964563846588,110,1,0,0,0,,,nan,0,0.0548735074698925,5.5,0.15578164160251617,0.25300642641430554,0.5232591032981873,0,0.0,0.7909090909090909,0.006996421675044611,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.005781658219037172,0.005026866292411631,0.01648316066712141,0.001428819659420035,0.0014232329685579647,0.0021438280713151803,0.13009368625723502,1.2369569540023804,25.849184036254883,0,0,0,0.0,0,0.18825932020379055
16,-91.00360411399254,47.840108225122094,240,0,0,0,0,,,nan,0,0.4469704031944275,12.0,0.16960911452770233,0.18818757201079278,0.4618520736694336,0,0.0,0.8125,0.10386394687563355,0.0,0.0,0.0,0.0,0.9875,0.0,0.0,0.0,0.005161423555259365,0.0052378634728180865,0.03552424442023039,0.0016642585784817736,0.001436884383050104,0.0020857650864248476,0.13633516470436008,1.2827690839767456,26.269731521606445,0,0,0,0.0,0,0.3146689396179114
17,-18.73102821804545,32.554099842906,95,1,0,0,0,,,nan,0,0.054533034563064575,4.75,0.1535734087228775,0.3153085164333645,0.5252286195755005,0,0.0,0.8736842105263158,0.05642937732089328,0.0,0.0,0.0,0.0,0.9263157894736842,0.0,0.0,0.0,0.003573392856084545,0.004102148890103165,0.005114031955599785,0.0011882874330407694,0.00115259973038184,0.0017329409032275803,0.14926381103302302,1.3434275388717651,31.347679138183594,0,0,0,0.0,0,0.1325425587058513
18,-94.62357545332259,53.95835503004491,240,0,0,0,0,,,nan,0,0.2729377746582031,12.0,0.13968129456043243,0.21576778372594466,0.5833370685577393,0,0.0,0.8291666666666667,0.13897731527439294,0.0375,0.03333333333333333,0.0,0.004166666666666667,0.9125,0.0,0.004166666666666667,0.03333333333333333,-0.011714301321610804,0.004655591445043683,0.15679885167628527,0.0011668002155298988,0.00113386973971501,0.0023273911327123644,0.08177841297971705,0.975978434085846,19.49281120300293,0,0,0,0.0,0,0.36801876676217893
19,13.423700954301339,8.109626334160566,40,1,0,0,0,,,nan,0,0.04210802912712097,2.0,0.1842675358057022,0.17223589783534407,0.4115076959133148,0,0.0,0.85,0.14906790141830617,0.0,0.0,0.0,0.0,0.925,0.0,0.0,0.0,0.0057801613878838976,0.004040510673075914,0.004873595200479031,0.0011985415825620294,0.0011447707423940302,0.0016687021590769291,0.18402602337300777,1.6313132047653198,28.216434478759766,0,0,0,0.0,0,0.02657604513422132
