episode,reward,cost,length,success,collision,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
0,-8.599643060742924,21.571844305843115,103,1,0,0,0.05307856947183609,5.15,0.2029300183057785,0.19692292125913705,0.4954603314399719,0,0.0,0.6893203883495146,0.02383747034358118,0.0,0.0,0.0,0.0,0.9611650485436893,0.0,0.0,0.0,0.05292927161232744,0.006427058977192467,0.17623924650251865,0.0013448021112425813,0.0013120630575181212,0.0036427259933456634,0.16010767548770002,1.544382929801941,39.377830505371094,1,1,3,0.15000000000000002,0,0.2916331528559626
1,-108.10838594546274,99.73302757553756,234,1,0,0,0.054611627012491226,11.700000000000001,0.07283242791891098,0.2326965532464604,0.861755907535553,14,0.05982905982905983,0.8205128205128205,0.1090119760017564,0.0,0.0,0.0,0.09401709401709402,0.9615384615384616,0.0,0.0,0.10683760683760683,-0.07987322840896902,0.004943201951204966,0.009716369211673737,0.0013243616041209963,0.0012878387784346556,0.002045034824942167,0.11692774287647863,1.196977138519287,29.854915618896484,1,1,46,2.3000000000000003,0,0.3047030231450615
2,-148.74228608903582,56.16114402934909,240,0,0,0,0.17840047180652618,12.0,0.1710907369852066,0.2217857575044036,0.5393115282058716,0,0.0,0.7333333333333333,0.12815915176863169,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.008419594790256474,0.005041719984728843,0.007938527502119541,0.0013361650635488331,0.0012722720392048358,0.001860529618958632,0.08180064831103664,1.0892775058746338,22.890674591064453,1,1,109,5.45,0,0.24538409873694078
3,-28.17001015210197,26.281622789800167,73,0,1,1,0.1445305496454239,3.6500000000000004,0.15541823208332062,0.22997044282008525,0.5847538709640503,0,0.0,0.6301369863013698,0.030799197425599518,0.0,0.0,0.0,0.0821917808219178,1.0,0.0,0.0,0.0273972602739726,-0.004668200910309478,0.004669634842199006,0.007172196172177792,0.0012664840084640947,0.0012105355319911486,0.0018622189351957137,0.11892494042595364,1.2636469602584839,21.35093879699707,1,0,20,1.0,0,0.28083133537673555
4,-149.39207996743102,95.75768949277699,240,0,0,0,0.3754647672176361,12.0,0.08072969317436218,0.22059818297469366,0.8468667268753052,13,0.05416666666666667,0.7916666666666666,0.07909838062305515,0.0,0.0,0.0,0.08333333333333333,0.9708333333333333,0.0,0.0,0.09583333333333334,-0.09621189846358369,0.004880697862245142,0.008760730735957623,0.0013006342380928496,0.0012778796100368103,0.0019728677386107543,0.12905294638088283,1.3980786800384521,26.78662109375,1,1,58,2.9000000000000004,0,0.023472516192373727
5,-83.46185424316837,49.34315533004701,240,0,0,0,0.1967317759990692,12.0,0.17057989537715912,0.19294199030070255,0.4364217519760132,0,0.0,0.7166666666666667,0.0954424821117061,0.0,0.0,0.0,0.0,0.9958333333333333,0.0,0.0,0.0,0.018061114589205285,0.004844775528181344,0.008898409083485603,0.0013623882395525774,0.0012750140391290187,0.0018688170976626376,0.11512539094837848,1.3191289901733398,32.32133483886719,1,1,64,3.2,0,0.1379185754434844
6,-38.8364561716143,32.02191645279527,240,0,0,0,0.14729318022727966,12.0,0.21361111104488373,0.12913651254493744,0.4180130958557129,0,0.0,0.4875,0.003170063590631633,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06361108027910958,0.0035456040175631644,0.006055633537471294,0.0009946228897509475,0.0009925827810851235,0.0014933932106941938,0.10502092158421875,1.0649763345718384,19.608402252197266,0,0,0,0.0,0,0.33998702341413856
7,15.699890804729751,5.1805959939956665,38,1,0,0,0.047767169773578644,1.9000000000000001,0.31474342942237854,0.1260746756666585,0.19220532476902008,0,0.0,0.5263157894736842,0.009226309980016388,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14551845085158832,0.003898979801880686,0.0049433354288339615,0.001109365716968712,0.001094587710931113,0.0016223170892580559,0.15483619223691916,1.5082629919052124,22.353239059448242,0,0,0,0.0,0,0.2195994027006951
8,-22.900679998518335,28.45867613516748,202,1,0,0,0.05272483080625534,10.100000000000001,0.20290814340114594,0.13443892730381524,0.515833854675293,0,0.0,0.5643564356435643,0.031994460938755034,0.0,0.0,0.0,0.0,0.9851485148514851,0.0,0.0,0.0,0.052908140439358514,0.0037280843814484553,0.005089243873953819,0.0010511076243797152,0.0010412689021760874,0.001554029408178412,0.14152846873581115,1.356391191482544,23.59809684753418,1,1,4,0.2,0,0.2876768869986992
9,-109.48368648668148,49.977994587272406,240,0,0,0,0.3158186972141266,12.0,0.16617326438426971,0.1950164167676121,0.4374004602432251,0,0.0,0.85,0.16394653638590043,0.0,0.0,0.0,0.0,0.9666666666666667,0.0,0.0,0.0,0.0026950054230125142,0.004253555880859494,0.016583495773375034,0.0011326507238360742,0.001148900855332613,0.0016720423086856802,0.05861772311424526,0.7400308847427368,13.798659324645996,1,1,72,3.6,0,0.08561910235296297
