episode,reward,cost,length,success,collision,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
0,-8.599643060742924,21.571844305843115,103,1,0,0,0.05307856947183609,5.15,0.2029300183057785,0.19692292125913705,0.4954603314399719,0,0.0,0.6893203883495146,0.02383747034358118,0.0,0.0,0.0,0.0,0.9611650485436893,0.0,0.0,0.0,0.05292927161232744,0.0061235310582136646,0.14908141270279884,0.0014136400779040114,0.0013105065191110362,0.003266038454490379,0.16010767548770002,1.544382929801941,39.377830505371094,1,1,3,0.15000000000000002,0,0.2916331528559626
1,-46.57792197055676,35.66254308819771,47,0,1,1,0.3466886579990387,2.35,0.10542380064725876,0.41464409041912,0.871303141117096,2,0.0425531914893617,0.7446808510638298,0.1076172174341583,0.2127659574468085,0.0,0.2127659574468085,0.0,0.7446808510638298,0.0,0.0,0.19148936170212766,-0.06382993816100949,0.045571226527557726,0.23004715703427792,0.001253347526839439,0.0011623289356840418,0.042530225213379305,0.13132237393329751,1.5009829998016357,35.11358642578125,1,0,25,1.25,0,0.3047030231450615
2,-148.74228608903582,56.16114402934909,240,0,0,0,0.17840047180652618,12.0,0.1710907369852066,0.2217857575044036,0.5393115282058716,0,0.0,0.7333333333333333,0.12815915176863169,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.008419594790256474,0.00515789488175263,0.009485597722232342,0.0013729161854522923,0.001314996334258467,0.0019464406301267444,0.08180064831103664,1.0892775058746338,22.890674591064453,1,1,109,5.45,0,0.24538409873694078
3,-27.56191256654992,25.97130473703146,72,0,1,1,0.13134269416332245,3.6,0.15274576842784882,0.22930923838996226,0.6138720512390137,0,0.0,0.625,0.03932473610074182,0.06944444444444445,0.0,0.06944444444444445,0.0,0.9305555555555556,0.0,0.0,0.027777777777777776,-0.007351045324843847,0.015330210845503543,0.18692004587501287,0.0012497080024331808,0.001203798391442332,0.012520477731919123,0.12179990080443935,1.303844928741455,22.952342987060547,1,0,19,0.9500000000000001,0,0.28083133537673555
4,-54.270141067152466,47.83758723735809,15,0,1,0,0.3845520317554474,0.75,-0.005663663614541292,0.8119801918665568,0.8910155892372131,9,0.6,1.0,0.3500000016399068,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8666666666666667,-0.17573576491468365,0.16858997487773497,0.1999851930886507,0.0012532945101459822,0.0011516897628704706,0.16510233972221613,0.0,0.0,0.0,1,0,15,0.75,0,0.023472516192373727
5,-83.46185424316837,49.34315533004701,240,0,0,0,0.1967317759990692,12.0,0.17057989537715912,0.19294199030070255,0.4364217519760132,0,0.0,0.7166666666666667,0.0954424821117061,0.0,0.0,0.0,0.0,0.9958333333333333,0.0,0.0,0.0,0.018061114589205285,0.004978395098199447,0.018065618351101875,0.0013866701279766857,0.0013340184814296663,0.0018968345985437432,0.11512539094837848,1.3191289901733398,32.32133483886719,1,1,64,3.2,0,0.1379185754434844
6,-38.8364561716143,32.02191645279527,240,0,0,0,0.14729318022727966,12.0,0.21361111104488373,0.12913651254493744,0.4180130958557129,0,0.0,0.4875,0.003170063590631633,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06361108027910958,0.004607375129126012,0.006552711129188538,0.0013460499971794586,0.0013162169993544619,0.0018584425871570906,0.10502092158421875,1.0649763345718384,19.608402252197266,0,0,0,0.0,0,0.33998702341413856
7,15.699890804729751,5.1805959939956665,38,1,0,0,0.047767169773578644,1.9000000000000001,0.31474342942237854,0.1260746756666585,0.19220532476902008,0,0.0,0.5263157894736842,0.009226309980016388,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14551845085158832,0.005414886056984726,0.006081854924559593,0.0016028414676456076,0.001568799568830352,0.002142710807292085,0.15483619223691916,1.5082629919052124,22.353239059448242,0,0,0,0.0,0,0.2195994027006951
8,-22.900679998518335,28.45867613516748,202,1,0,0,0.05272483080625534,10.100000000000001,0.20290814340114594,0.13443892730381524,0.515833854675293,0,0.0,0.5643564356435643,0.031994460938755034,0.0,0.0,0.0,0.0,0.9851485148514851,0.0,0.0,0.0,0.052908140439358514,0.004737468653054225,0.006692884489893913,0.001379355294906562,0.001337170716153808,0.0019085747835290905,0.14152846873581115,1.356391191482544,23.59809684753418,1,1,4,0.2,0,0.2876768869986992
9,-109.48368648668148,49.977994587272406,240,0,0,0,0.3158186972141266,12.0,0.16617326438426971,0.1950164167676121,0.4374004602432251,0,0.0,0.85,0.16394653638590043,0.0,0.0,0.0,0.0,0.9666666666666667,0.0,0.0,0.0,0.0026950054230125142,0.005055040819570422,0.008552261628210545,0.0013803053880110383,0.0013172369256305198,0.0019250820584905644,0.05861772311424526,0.7400308847427368,13.798659324645996,1,1,72,3.6,0,0.08561910235296297
