episode,reward,cost,length,success,collision,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
0,19.38534893096371,4.975335821509361,16,1,0,0,0.04634983837604523,0.8,0.23709408938884735,0.23777931928634644,0.3872945010662079,0,0.0,0.8125,0.04789124739696886,0.0625,0.0,0.0,0.0,1.0,0.0,0.0625,0.0,0.04066129507888447,0.0148935760371387,0.16120788175612688,0.001454007753636688,0.0014015543274581432,0.01200057368259877,0.19287638063542545,1.8325811624526978,31.2098388671875,0,0,0,0.0,0,0.10143905129639821
1,-64.31728872143978,26.602378875017166,49,0,1,1,0.7820155620574951,2.45,0.13635139167308807,0.32722609398924574,0.7547881007194519,0,0.0,0.9795918367346939,0.28408285915329157,0.10204081632653061,0.10204081632653061,0.0,0.0,0.8571428571428571,0.0,0.0,0.08163265306122448,-0.030760372392822977,0.004834122727720105,0.011335888877511024,0.0013616427361052862,0.0014015367558720161,0.002038213785509674,0.16353989080811032,2.0754778385162354,50.20644760131836,0,0,0,0.0,0,0.14071146228507836
2,21.224956038191042,3.288261294364929,14,1,0,0,0.044513095170259476,0.7000000000000001,0.2580484449863434,0.20706664770841599,0.2633821666240692,0,0.0,0.7142857142857143,0.006653954092286014,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09342560738055852,0.005105530909661736,0.006882619112730026,0.0014608878243182386,0.0014084759168326855,0.002200599094586713,0.24532400178057806,2.126004695892334,40.451454162597656,0,0,0,0.0,0,0.16612204921191964
3,-10.107220163877152,19.611051311716437,111,1,0,0,0.050335273146629333,5.550000000000001,0.16573990881443024,0.17407951040847883,0.5081068277359009,0,0.0,0.7387387387387387,0.030052407635891495,0.0,0.0,0.0,0.0,0.990990990990991,0.0,0.0,0.0,0.015739903812233863,0.0051556018239877245,0.006215107627213001,0.001554775169236703,0.0014709352037391148,0.002094230857921076,0.11810710027746789,1.1559605598449707,16.963451385498047,0,0,0,0.0,0,0.43034178423570546
4,21.488846562695688,1.3545858785510063,18,1,0,0,0.045286234468221664,0.9,0.4509490132331848,0.07144858336283101,0.07806194573640823,0,0.0,0.7222222222222222,0.0012533427848304324,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2825757344426052,0.004184154327958822,0.006132721900939941,0.0012157735311322743,0.001194001899825202,0.0017446972326272065,0.09095409067554606,1.0232899188995361,21.520477294921875,0,0,0,0.0,0,0.36610757761180157
5,7.677827825678849,12.7212473154068,91,1,0,0,0.05413644760847092,4.55,0.2738366425037384,0.12488879648211239,0.2360876202583313,0,0.0,0.7802197802197802,0.06172947670822501,0.0,0.0,0.0,0.0,0.989010989010989,0.0,0.0,0.0,0.10609428185338174,0.003816829247215947,0.008717872202396393,0.0011082109636985338,0.0010720892901440243,0.0016093093615311843,0.09484503191005397,1.0072546005249023,21.87559700012207,0,0,0,0.0,0,0.19252869589620247
6,-78.86444695104417,47.73406574875116,240,0,0,0,0.3419349789619446,12.0,0.15525557100772858,0.18870568698427329,0.5255342721939087,0,0.0,0.8291666666666667,0.12761289104802817,0.0,0.0,0.0,0.0,0.9833333333333333,0.0,0.0,0.0,0.005255577677895806,0.003922839357983321,0.0067285094410181046,0.001152505228916804,0.001095704916709413,0.0016466593369841576,0.10434147475752979,1.0374356508255005,21.76112174987793,0,0,0,0.0,0,0.4129506960307866
7,-69.64721386278629,62.901307582855225,19,0,1,1,0.3534010052680969,0.9500000000000001,-0.006415320560336113,0.8123925610592491,0.8587344288825989,13,0.6842105263157895,1.0,0.4221584824078417,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9473684210526315,-0.17456047563385285,0.004546984441970524,0.005162179470062256,0.0013704616576433182,0.0012815988279486958,0.0018631678662802045,0.0,0.0,0.0,0,0,0,0.0,0,0.004560998684529666
8,-58.126110052857776,72.79650566726923,105,1,0,0,0.052992336452007294,5.25,0.08047427237033844,0.3397964133393197,0.8567807078361511,12,0.11428571428571428,0.7714285714285715,0.10623717657467013,0.1523809523809524,0.1523809523809524,0.0,0.0,0.8476190476190476,0.0,0.0,0.19047619047619047,-0.06962748785826914,0.003927948024301302,0.005294290371239185,0.00114509550233682,0.0011290523090532849,0.0016266630962491035,0.11632513166183517,1.1836936473846436,21.01627540588379,0,0,0,0.0,0,0.013157300323719312
9,-5.985846824938349,24.814231142401695,130,1,0,0,0.05492967739701271,6.5,0.18582651019096375,0.16540643436690936,0.4287990629673004,0,0.0,0.9076923076923077,0.1436971479387795,0.0,0.0,0.0,0.0,0.8384615384615385,0.0,0.0,0.0,0.008164853925169552,0.0038197843787761837,0.0060689859092235565,0.001094242980560431,0.001067516802308651,0.0016314403297236332,0.09869457517678921,1.016966462135315,15.691685676574707,0,0,0,0.0,0,0.1271244098332938
